"-- Please Select --","-- Si us plau, seleccioneu --"
"Are you sure you want to do this?","Esteu segur que voleu fer-ho?"
"Back","Torna"
"Code","Codi"
"Country","País"
"Default Country","País predeterminat"
"Excl. Tax","Impostos exclosos"
"Incl. Tax","Impostos inclosos"
"Name","Nom"
"None","Cap"
"Reset","Restablir"
"Sales","Vendes"
"Save and Continue Edit","Desa i continua editant"
"Sort Order","Criteri d'Ordenació"
"Tax","Impostos"
"Tax Calculation Based On","Càlcul tributari basat en"
"Yes","Si"
