"Base Currency","Moneda Base"
"Country","País"
"Currency","Moneda"
"Default Display Currency","Moneda de visualització predeterminada"
"Enabled","Habilitat"
"Frequency","Freqüència"
"Start Time","Hora d'inici"
"State/Province","Província"
