"Base URL","URL Base"
"Configuration","Configuració"
"Confirm Password","Confirmeu la contrasenya"
"Database","Base de dades"
"Download","Descarregar"
"Email","Correu electrònic"
"Email Address","Adreça electrònica"
"Enable Charts","Habilitar Gràfiques"
"First Name","Nom"
"Last Name","Cognoms"
"Locale","Configuració regional"
"Password","Contrasenya"
"Password Confirmation","Confirmació de la contrasenya"
"Personal Information","Informació personal"
"Secure Base URL","URL Base Segura"
"User Name","Nom d'usuari"
"User Password","Paraula Clau de l'Usuari"
"Username","Nom d'usuari"
