"API Login ID","ID d'accés de l'API"
"Accepted Currency","Moneda Acceptada"
"Authorize Only","Només Autoritzar"
"Authorize and Capture","Autoritzar i capturar"
"Cancel","Cancel·la"
"Credit Card Types","Tipus de Targeta de Crèdit"
"Credit Card Verification","Verificació de la Targeta de Crèdit"
"Debug","Depuració"
"Email Customer","Correu Electrònic del Client"
"Enabled","Habilitat"
"Invalid amount for capture.","Import no vàlid per a la captura."
"Invalid amount for refund.","Import no vàlid per a la devolució."
"Maximum Order Total","Total Màxim de la Comanda"
"Merchant's Email","Correu Electrònic del Venedor"
"Minimum Order Total","Total Mínim de la Comanda"
"New Order Status","Nou estat de la comanda"
"Payment Action","Acció de pagament"
"Payment capturing error.","Error capturant el pagament."
"Payment from Applicable Countries","Pagament de Països Acceptats"
"Payment from Specific Countries","Pagament de Països Específics"
"Payment refunding error.","Error de reemborsament del pagament."
"Payment voiding error.","Error d’anul·lació del pagament."
"Sort Order","Criteri d'Ordenació"
"Test Mode","Mode de Prova"
"Title","Títol"
"Transaction Key","Clau de Transacció"
"authorize","autoritzar"
"authorize and capture","autoritzar i capturar"
"capture","capturar"
"failed","ha fallat"
"refund","reemborsament"
"successful","correcte"
"void","buit"
