"Action","Acció"
"Add to Cart","Afegir a la cistella"
"Add to Wishlist","Afegir a la Llista de Desitjos"
"Are you sure you want to do this?","Esteu segur que voleu fer-ho?"
"Are you sure?","Segur?"
"Back","Torna"
"Block Information","Informació del bloc"
"Change status","Canviar l'Estat"
"Country","País"
"Customer Since","Client Des"
"Customers","Clients"
"Delete","Eliminar"
"Disabled","Deshabilitat"
"Email","Correu electrònic"
"First Name","Nom"
"General Information","Informació general"
"Grid","Graella"
"Last Name","Cognoms"
"List","Llista"
"Name","Nom"
"Pending","Pendent"
"Price","Preu"
"Product Name","Nom del producte"
"Products","Productes"
"Remove","Elimina"
"Save and Continue Edit","Desa i continua editant"
"Status","Estat"
"Store View","Vista de Botiga"
"Tags","Etiquetes"
"Update","Actualitzar"
