"Add Option","Afegir Opció"
"Attribute Code","Codi d'Atribut"
"Attribute object is undefined","L’objecte d’atribut no està definit"
"Date","Data"
"Default Value","Valor per defecte"
"Delete","Eliminar"
"Email","Correu electrònic"
"None","Cap"
"Required","Obligatori"
"System","Sistema"
"Unique Value","Valor Únic"
"Yes","Si"
