"Action","Acció"
"Backups","Còpies de seguretat"
"Database","Base de dades"
"Database Backup","Còpia de seguretat de bases de dades"
"Database and Media Backup","Còpia de seguretat de bases de dades i multimèdia"
"Download","Descarregar"
"Frequency","Freqüència"
"Maintenance Mode","Mode de manteniment"
"Name","Nom"
"Start Time","Hora d'inici"
"System","Sistema"
"System Backup","Còpia de seguretat del sistema"
"Time","Temps"
"Type","Tipus"
