"Advanced Search","Cerca Avançada"
"All","Tot"
"Catalog Advanced Search","Cerca avançada del catàleg"
"Catalog Search","Cerca del catàleg"
"Don't see what you're looking for?","No veus què estàs buscant?"
"Go to Home Page","Vés a la pàgina d'inici"
"Grid","Graella"
"Home","Inici"
"List","Llista"
"Maximum Query Length","Longitud màxima de la consulta"
"Minimal Query Length","Longitud mínima de la consulta"
"Popular Search Terms","Termes de cerca populars"
"Rebuild Catalog product fulltext search index","Reconstruir l'índex de cerca del catàleg per nom complet del producte"
"Relevance","Rellevància"
"Results","Resultats"
"Search","Cerca"
"Search Settings","Configuració de la cerca"
"Search Terms","Termes de cerca"
"Search entire store here...","Cerqueu tota la botiga aquí..."
"There are no search terms available.","No hi ha termes de cerca disponibles."
"Yes","Si"
