"Action","Acció"
"All Countries","Tots els Països"
"Block Information","Informació del bloc"
"Content","Contingut"
"Custom Design","Disseny personalitzat"
"Delete File","Eliminar fitxer"
"Description","Descripció"
"Design","Disseny"
"Disabled","Deshabilitat"
"Enabled","Habilitat"
"General Information","Informació general"
"Go to Home Page","Vés a la pàgina d'inici"
"Home","Inici"
"Meta Description","Metadescripció"
"Meta Keywords","Meta Paraules clau"
"Status","Estat"
"Store View","Vista de Botiga"
"Template","Plantilla"
"Title","Títol"
