"Attribute Set","Conjunt d'Atributs"
"Attributes","Atributs"
"Back","Torna"
"Base Currency","Moneda Base"
"Catalog","Catàleg"
"Category ID","ID de Categoria"
"City","Ciutat"
"Company","Empresa"
"Country","País"
"Customer","Client"
"Delete","Eliminar"
"Discount","Descompte"
"Discount Amount","Import de Descompte"
"Edit","Edita"
"Email","Correu electrònic"
"Exclude","Excloure"
"First Name","Nom"
"Grand Total","Suma total"
"Group","Grup"
"Guest","Convidat"
"Label","Etiqueta"
"Last Logged In","Últim Inici de Sessió"
"Last Name","Cognoms"
"Order","Comanda"
"Order ID","ID de Comanda"
"Order Status","Estat de la comanda"
"Orders","Comandes"
"Payment Method","Mètode de pagament"
"Phone Number","Número de telèfon"
"Position","Posició"
"Price","Preu"
"Product","Producte"
"Qty","Quantitat"
"Role Information","Informació de Rol"
"Role Name","Nom de Rol"
"Sales","Vendes"
"Save","Desar"
"Shipping Method","Mètode d'enviament"
"State","Estat"
"Store Name","Nom de la botiga"
"Street","Carrer"
"System","Sistema"
"Total Due","Total Deute"
"Total Paid","Total Pagat"
"Total Refunded","Total Reemborsament"
"Type","Tipus"
"Update","Actualitzar"
"ZIP/Postal Code","Codi Postal"
