"# of Use","# van gebruik"
"%1$s incl tax.","%1$s incl.BTW"
"%s Item(s)","%s artikel(en)"
"(Copy data from: %s)","(Data kopi&euml;ren van: %s)"
"* Required Fields","* Verplichte velden"
"-- Please Select --","-- Selecteer --"
"A group with the same name already exists.","Een groep met dezelfde naam bestaat reeks"
"A name is required","Een naam is verplicht"
"A product type is not defined for the indexer.","Een producttype is niet opgegeven"
"ALL GROUPS","ALLE GROEPEN"
"Action","Actie"
"Actual Price","Werkelijke prijs"
"Add","Toevoegen"
"Add Attribute","Attribuut toevoegen"
"Add Design Change","Design wijziging toevoegen"
"Add Group","Groep toevoegen"
"Add New","Voeg nieuwe toe"
"Add New Attribute","Voeg nieuw attribuut toe"
"Add New Attribute Set","Nieuwe attributenset toevoegen"
"Add New Group","Nieuwe groep toevoegen"
"Add New Images","Nieuwe afbeeldingen toevoegen"
"Add New Option","Optie toevoegen"
"Add New Row","Nieuwe rij toevoegen"
"Add New Search Term","Voeg nieuwe zoekterm toe"
"Add New Set","Nieuwe set toevoegen"
"Add Product","Product toevoegen"
"Add Product To Websites","Product aan websites toevoegen"
"Add Root Category","Hoofd-categorie toevoegen"
"Add Subcategory","Subcategorie toevoegen"
"Add Tax","BTW toevoegen"
"Add Tier","Staffel toevoegen"
"Add to Cart","In Winkelwagen"
"Add to Compare","Toevoegen om te vergelijken"
"Add to Wishlist","Toevoegen aan verlanglijst"
"Additional Information","Extra informatie"
"All","Alle"
"All Product Types","Alle product types"
"All Websites","Alle Websites"
"All products","Alle producten"
"All products - recently added products, New products - products marked as new","Alle producten - recent toegevoegde producten, Nieuwe producten - producten gemarkeerd als nieuw"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Alle producten van deze set worden verwijderd! Weet u zeker dat u deze attributenset wil verwijderen?"
"Allow All Products per Page","Alle producten per pagina toestaan"
"Amount","Aantal"
"Anchor Custom Text","Zet eigen tekst vast"
"Anchor Custom Title","Zet eigen titel vast"
"Apply To","Pas Toe Op"
"Approved","Akkoord"
"Are you sure you want to delete this category?","Weet u zeker dat u deze categorie wilt verwijderen?"
