"Actions","Acties"
"Active","Actief"
"Add New Rule","Voeg nieuwe regel toe"
"Apply","Toepassen"
"Apply Rules","Regels toepassen"
"Attribute Set","Attributenset"
"By Fixed Amount","Met vast bedrag"
"Catalog","Catalogus"
"Catalog Price Rule","Catalogus Prijsregel"
"Catalog Price Rules","Catalogusprijs Regels"
"Category","Categorie"
"Conditions","Voorwaarden"
"Conditions (leave blank for all products)","Condities (laat leeg voor alle producten)"
"Conditions Combination","Voorwaardencombinatie"
"Customer Groups","Klantengroepen"
"Date Expire","Verloopdatum"
"Date From","Datum vanaf"
"Date Start","Begindatum"
"Date To","Datum tot"
"Description","Omschrijving"
"Discount Amount","Korting"
"Edit Rule","Bewerk regel"
"Edit Rule '%s'","Regel ‘%s’ bewerken"
"Expiration Date","Vervaldatum"
"From Date","Vanaf datum"
"General Information","Algemene informatie"
"Inactive","Niet actief"
"New Rule","Nieuwe regel"
"No","Nee"
"Options","Opties"
"Priority","Prioriteit"
"Product Attribute","Product-attribuut"
"Promotions","Promoties"
"Rule Information","Regel Informatie"
"Rule Name","Regel Naam"
"Save and Apply","Opslaan en toepassen"
"Save and Continue Edit","Opslaan en doorgaan met bewerken"
"Start Date","Begindatum"
"Status","status"
"This rule no longer exists.","Deze regel bestaat niet langer."
"To Date","Tot datum"
"To Fixed Amount","Tot vast bedrag"
"Type","Soort"
"Update product's %s %s: %s","Producten %s %s: %s updaten"
"Yes","Ja"
