"%s and greater","%s en groter"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d artikel(en)</strong> gevonden met de volgende zoekopdracht"
"Advanced Search","Geavanceerd zoeken"
"All","Alle"
"Catalog Advanced Search","Catalogus geavanceerd zoeken"
"Catalog Search","Catalogus doorzoeken"
"Don't see what you're looking for?","Niet gevonden wat u zocht?"
"Go to Home Page","Ga naar homepagina"
"Grid","Foto-tabel"
"List","Lijst"
"Maximum Query Length","Maximale lengte zoekopdracht"
"Maximum Query Words Count","Maximale aantal woorden in zoekopdracht"
"Minimal Query Length","Minimale lengte zoekopdracht"
"Modify your search","Zoekopdracht bewerken"
"No","Nee"
"No items were found using the following search criteria.","Er zijn geen items gevonden met de volgende zoekcriteria"
"Popular Search Terms","Populaire zoekwoorden"
"Rebuild Catalog product fulltext search index","Product 'fulltext' zoekindex"
"Relevance","Relevantie"
"Results","Resultaten"
"Search","Zoek"
"Search Settings","Zoekinstellingen"
"Search Terms","Zoektermen"
"Search Type","Zoektype"
"Search entire store here...","Doorzoek de hele winkel"
"Search results for '%s'","Zoekresultaten voor ‘%s’"
"Search results for: '%s'","Zoekresultaten voor ‘%s’"
"Subscribe to Feed","Abonneren op Feed"
"There are no search terms available.","Er zijn momenteel geen populaire trefwoorden beschikbaar."
"Yes","Ja"
"Your search returns no results.","Uw zoekactie had geen resultaat"
"up to %s","tot %s"
