"--Please Select--","--Maak een keuze--"
"API Login ID","API Login-ID"
"Accepted Currency","Toegestane valuta"
"Authorize.net Direct Post","Authorize.net Directe Post"
"Card Verification Number","Verificatienummer"
"Card Verification Number Visual Reference","Visuele referentie Kaartverificatienummer"
"Close","Sluiten"
"Credit Card Information","Kredietkaart informatie"
"Credit Card Number","Kredietkaartnummer"
"Credit Card Type","Kredietkaart type"
"Credit Card Types","Kredietkaart types"
"Credit Card Verification","Creditcard-verficatie"
"Debug","Fouten opsporen"
"Email Customer","E-mail klant"
"Enabled","Ingeschakeld"
"Expiration Date","Vervaldatum"
"Gateway URL","Betaalplatform URL"
"Maximum Order Total","Maximum orderbedrag"
"Merchant MD5","Webwinkelier MD5"
"Merchant's Email","Handelaar E-mail"
"Minimum Order Total","Minimum orderbedrag"
"New Order Status","Nieuwe orderstatus"
"Order saving error: %s","Fout tijdens opslaan van bestelling: %s"
"Payment Action","Betaling"
"Payment authorization error.","Betaling autorisatie fout."
"Payment from Applicable Countries","Betaling van toepasselijke landen"
"Payment from Specific Countries","Betaling van Specifieke Landen"
"Sort Order","Sorteervolgorde"
"Test Mode","Test Modus"
"There was an error processing your order. Please contact us or try again later.","Er is een fout opgetreden bij de verwerking van uw bestelling. Neem contact met ons op of probeer het later nog eens"
"Title","Titel"
"Transaction Key","Transactiecode"
"What is this?","Wat is dit?"
