"Add Option","Voeg optie toe"
"Attempt to add an invalid object","Poging om een ongeldig object toe te voegen"
"Attribute Code","Attribuutcode"
"Attribute Label","Attribuutlabel"
"Attribute Properties","Attribuut-eigenschappen"
"Attribute object is undefined","Attribuut object is niet opgegeven"
"Attribute with the same code","Attribuut met dezelfde code"
"Catalog Input Type for Store Owner","Catalogus invoertype voor winkeleigenaar"
"Data integrity: No header row found for attribute","Data-integriteit: Geen header-rij gevonden voor attribuut"
"Date","Datum"
"Decimal Number","Decimaal Nummer"
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Standaard product sortering komt niet voor niet in de beschikbare-product-sorteringen-lijst"
"Default Value","Standaardwaarde"
"Default option value is not defined","Waarde van standaard-optie is niet gedefinieerd"
"Delete","Verwijder"
"Email","E-mail"
"Entity is not initialized","Entiteit is niet geïnitialiseerd"
"Entity object is undefined","Entiteit is niet opgegeven"
"Form Element with the same attribute","Form-element met dezelfde attribuut"
"Form Fieldset with the same code","Form-Fieldset met dezelfde code"
"Form Type with the same code","Form-type met dezelfde code"
"Frontend label is not defined","Frontend-label is niet gedefinieerd"
"Input Validation for Store Owner","Invoervalidatie voor winkeleigenaar"
"Integer Number","Integer nummer"
"Invalid alias, already exists in joint attributes","Ongeldige alias, bestaat al in gejoinde attributen"
"Invalid attribute name: %s","Ongeldige attribuutnaam: %s"
"Invalid attribute requested: %s","Ongeldig attribuut opgevraagd: %s"
"Invalid attribute type","Ongeldig attribuuttype"
"Invalid character encountered in increment ID: %s","Ongeldig teken in oplopend ID: %s"
"Invalid date","Ongeldige datum"
"Invalid entity specified","Ongeldige entiteit opgegeven"
"Invalid entity supplied: %s","Ongeldige entitieit opgegeven: %s"
"Invalid entity type","Ongeldig entiteittype"
"Invalid entity_type specified: %s","Ongeldig entity-type opgegeven: %s"
"Invalid foreign key","Ongeldige foreign key"
"Invalid store specified","Ongeldige winkel opgegeven"
"Joined field with this alias is already declared","Gekoppeld veld met deze alias bestaat al"
"Joint field or attribute expression with this alias is already declared","Gezamenlijk veld of attribuut expressie met deze alias is al afgekondigd"
"Letters (a-z, A-Z) or Numbers (0-9)","Letters (a-z, A-Z) of cijfers (0-9)"
"Loaded %d records","%d records geladen"
"Multiple Select","Multi-select"
"No","Nee"
"No options found in config node %s","Geen opties gevonden in config node %s"
"None","Geen"
"Not shared with other products","Niet gedeeld met andere producten"
"Problem loading the collection, aborting. Error: %s","Probleem tijdens laden van de verzameling. Bezig met afbreken. Fout: %s"
"Problem saving the collection, aborting. Error: %s","Probleem bij opslaan van verzameling. Magento sluit af. Fout: %s"
"Required","Vereist"
"System","Systeem"
"Text Area","Tekstgedeelte"
"Text Field","Tekstveld"
"Unique Value","Unieke waarde"
"Unique Value (not shared with other products)","Unieke waarde (wordt niet gedeeld met andere producten)"
"Unknown parameter","Onbekende parameter"
"Values Required","Waarden vereist"
"Wrong attribute group ID","Verkeerd attribuutgroep-ID"
"Wrong attribute set ID","Verkeerd attributenset-ID"
"Wrong entity ID","Verkeerd entiteit-ID"
"Yes","Ja"
"Yes/No","Ja/Nee"
