"Actions","Acties"
"Add Answer","Antwoord toevoegen"
"Add New Answer","Nieuw antwoord toevoegen"
"Add New Poll","Nieuwe poll toevoegen"
"Answer Title","Antwoordtitel"
"Answer Title:","Antwoordtitel:"
"Answer with the same title in this poll","Antwoord met dezelfde titel in deze poll"
"Are you sure you want to delete it?","Weet u zeker dat u het wilt verwijderen?"
"Assigned Answers","Toegewezen antwoorden"
"Closed","gesloten"
"Community Poll","Peiling"
"Date Closed","Datum gesloten"
"Date Posted","Datum geplaatst"
"Delete","Verwijder"
"Delete Answer","Antwoord verwijderen"
"Delete Poll","Poll verwijderen"
"Edit Answer '%s'","Bewerken antwoord ‘%s’"
"Edit Poll '%s'","Bewerken poll ‘%s’"
"Edit Poll Answer","Poll-antwoord bewerken"
"New Poll","Nieuwe poll"
"Number of Responses","Aantal reacties"
"Open","open"
"Poll Answers","Poll-antwoorden"
"Poll Information","Poll-gegevens"
"Poll Manager","Beheer poll"
"Poll Question","Poll-vraag"
"Poll information","Poll-gegevens"
"Poll with the same question","Poll met dezelfde vraag"
"Save Answer","Antwoord opslaan"
"Save Poll","Poll opslaan"
"Status","status"
"Visible In","Zichtbaar in"
"Vote","Stem"
"Votes Count","Aantal stemmen"
"Votes Count:","Aantal stemmen:"
