"-- Please Select --","-- Selecteer --"
"Add New Class","Nieuwe tariefgroep toevoegen"
"Add New Tax Rate","Nieuw BTW-tarief toevoegen"
"Add New Tax Rule","Nieuwe BTW-regel toevoegen"
"After Discount","Na korting"
"Apply Customer Tax","BTW in rekening brengen:"
"Apply Discount On Prices","Bereken de korting op de prijzen."
"Apply Tax On","Bereken BTW op"
"Are you sure you want to do this?","Weet u zeker dat u dit wilt doen?"
"Back","Terug"
"Before Discount","Voorafgaand aan korting"
"Calculation Settings","BTW berekeningsmethodiek"
"Catalog Prices","Catalogusprijzen"
"Class Name","Naam tariefgroep"
"Code","Interne naam/code"
"Country","Land"
"Custom price if available","Aangepaste prijs als deze beschikbaar is"
"Customer Tax Class","BTW-tariefgroep klant"
"Customer Tax Class Information","Gegevens BTW-tariefgroep klant"
"Customer Tax Classes","Klant BTW-tariefgroepen"
"Default Country","Standaard land"
"Default Post Code","Standaard postcode"
"Default State","Standaard provincie"
"Default Tax Destination Calculation","Land van herkomst"
"Delete Class","Tariefgroep verwijderen"
"Delete Rate","Tarief verwijderen"
"Delete Rule","Regel verwijderen"
"Display Full Tax Summary","Volledig BTW-overzicht tonen"
"Display Prices","Prijzen tonen"
"Display Product Prices In Catalog","Productprijzen tonen in catalogus"
"Display Shipping Amount","Verzendkosten tonen"
"Display Shipping Prices","Transportkosten tonen"
"Display Subtotal","Subtotaal tonen"
"Display Zero Tax Subtotal","BTW van nul tonen in subtotaal"
"Edit Class","Tariefgroep bewerken"
"Edit Class '%s'","Bewerken van tariefgroep ‘%s’"
"Edit Rule","Bewerk regel"
"Edit Tax Rate","Bewerk BTW-tarief"
"Enable Cross Border Trade","Grensoverschrijdend handelsverkeer toestaan"
"Excl. Tax","Excl. BTW"
"Excl. Tax:","Excl. BTW:"
"Excluding Tax","Exclusief BTW"
"Export Tax Rates","Exporteer BTW-tarieven"
"Grand Total (Excl. Tax)","Eindtotaal (excl. BTW)"
"Grand Total (Excl.Tax)","Eindtotaal (excl. BTW)"
"Grand Total (Incl. Tax)","Eindtotaal (incl. BTW)"
"Grand Total (Incl.Tax)","Eindtotaal (incl. BTW)"
"Grand Total Excl. Tax","Eindtotaal excl. BTW"
"Grand Total Incl. Tax","Eindtotaal incl. BTW"
"Import / Export Tax Rates","BTW-tarieven in- en exporteren"
"Import Tax Rates","BTW-tarieven Importeren"
"Inc. Tax","Incl. BTW"
"Incl. Tax","Incl. BTW"
"Incl. Tax:","Incl. BTW:"
"Including Tax","Inclusief BTW"
"Including and Excluding Tax","In- en exclusief BTW"
"Invalid file format upload attempt","Poging ongeldig bestandsformaat te uploaden"
"Invalid file upload attempt","Poging Ongeldig bestand te uploaden"
"Product Tax Classes","BTW-groepen product"
"Tax Rates","BTW-tarieven"
"Tax Rules","Fiscale regels"
"Name","Naam"
"New Class","Nieuwe BTW-groep"
"New Rule","Nieuwe regel"
"New Tax Rate","Nieuw BTW-tarief"
"No","Nee"
"None","Geen"
"One of the country has invalid code.","Eén van de landen heeft een ongeldige code"
"Orders, Invoices, Credit Memos Display Settings","Instellingen vertoning voor bestellingen, facturen, creditfacturen"
"Original price only","Alleen oorspronkelijke prijs"
"Price Display Settings","Prijsweergave instellingen"
"Priority","Prioriteit"
"Product Tax Class","BTW-tariefgroep product"
"Product Tax Class Information","BTW-tariefgegevens van product"
"Range From","Van"
"Range To","Tot"
"Range To should be equal or greater than Range From.","""Bereik tot"" moet gelijk zijn of groter dan ""Bereik van"""
"Rate","Ratio"
"Rate Percent","Percentage"
"Reset","Resetten"
"Row Total","Rijtotaal"
"Sales","Verkopen"
"Save Class","Tariefgroep opslaan"
"Save Rate","Tarief opslaan"
"Save Rule","Regel opslaan"
"Save and Continue Edit","Opslaan en doorgaan met bewerken"
"Shipping & Handling (Excl.Tax)","Verzend- en verwerkingskosten (excl. BTW)"
"Shipping & Handling (Incl.Tax)","Verzend- en verwerkingskosten (incl. BTW)"
"Shipping (Excl. Tax)","Verzendkosten (excl. BTW)"
"Shipping (Incl. Tax)","Verzendkosten (incl. BTW)"
"Shipping Prices","Verzendkosten"
"Shopping Cart Display Settings","Winkelwagen weergave instellingen"
"Sort Order","Sorteervolgorde"
"State","Provincie"
"State/Region","Provincie"
"Subtotal (Excl. Tax)","Subtotaal (excl. BTW)"
"Subtotal (Excl.Tax)","Subtotaal (Excl. BTW)"
"Subtotal (Incl. Tax)","Subtotaal (incl. BTW)"
"Subtotal (Incl.Tax)","Subtotaal (incl. BTW)"
"Tax","BTW"
"Tax Calculation Based On","BTW berekening op basis van"
"Tax Calculation Method Based On","BTW berekeningsmethodiek o.b.v"
"Tax Class for Shipping","BTW-tariefgroep voor verzending"
"Tax Classes","BTW-tariefgroepen"
"Tax Identifier","BTW-identifier"
"Tax Rate","BTW-tarief"
"Tax Rate Information","BTW-tariefgegevens"
"Tax Rule Information","BTW-regel Informatie"
"Tax Titles","BTW titels"
"Tax rates at the same priority are added, others are compounded.","BTW-tarieven met dezelfde prioriteit worden opgeteld, andere worden gecombineerd."
"The tax rate has been imported.","Het BTW-percentage is geimporteerd"
"The tax rule has been deleted.","De BTW regel is verwijderd"
"This class no longer exists","Deze tariefgroep bestaat niet meer"
"This rule no longer exists","Deze regel bestaat niet meer"
"This rule no longer exists.","Deze regel bestaat niet langer."
"Total","Totaal"
"Unit Price","Stukprijs"
"Yes","Ja"
"You cannot delete this tax class as it is used for %d customer groups.","U kunt deze tariefgroep niet verwijderen omdat hij nog gebruikt wordt bij %d klantengroepen."
"You cannot delete this tax class as it is used for %d products.","U kunt deze tariefgroep niet verwijderen omdat hij nog gebruikt wordt voor %d producten."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","U kunt deze tariefgroep niet verwijderen omdat hij nog gebruikt wordt in BTW-regels. U moet eerst de regels verwijderen waarin hij wordt gebruikt."
"Zip/Post Code","Postcode"
"Zip/Post is Range","Postcodereeks"
