"Action","Actie"
"Add Sitemap","Sitemap toevoegen"
"Always","Altijd"
"CMS Pages Options","Opties CMS-pagina’s"
"Categories Options","Opties categorie&euml;n"
"Daily","Dagelijks"
"Edit Sitemap","Sitemap bewerken"
"Enabled","Ingeschakeld"
"Error Email Recipient","E-mailadres ontvanger van foutmelding"
"Error Email Sender","Afzender Foutmelding Email"
"Error Email Template","Foutmelding Email Template"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Bestand ""%s"" kan niet worden opgeslagen. Zorg ervoor dat de webserver schrijfrechten heeft op de map ""%s""."
"Filename","Bestandsnaam"
"Frequency","Frequentie"
"Generate","Genereren"
"Generation Settings","Instellingen voor genereren"
"Google Sitemap","Google sitemap"
"Hourly","Elk uur"
"Last Time Generated","Laatste keer gegenereerd"
"Link for Google","Link voor Google"
"Monthly","Maandelijks"
"Never","Nooit"
"New Sitemap","Nieuwe sitemap"
"Path","Pad:"
"Please create the specified folder ""%s"" before saving the sitemap.","Maak a.u.b. eerst de map ""%s"" aan voordat u de sitemap opslaat."
"Please define correct path","Definieer correct pad"
"Please make sure that ""%s"" is writable by web-server.","Controleer a.u.b. of de webserver schrijfrechten heeft op ""%s"""
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Gebruik alleen letters (a-z en A-Z), cijfers (0-9) of underscores (_) in de bestandsnaam. Spaties en andere tekens zijn niet toegestaan."
"Priority","Prioriteit"
"Products Options","Opties producten"
"Sitemap generate Warnings","Waarschuwingen van de sitemap generatie"
"Start Time","Begin Tijd"
"Store View","Winkelaanzicht"
"The priority must be between 0 and 1.","De prioriteit moet tussen de 0 en 1 zijn."
"This sitemap no longer exists.","De Sitemap bestaat niet langer."
"Weekly","Wekelijks"
"Yearly","Jaarlijks"
