"Add","Toevoegen"
"Allow Gift Messages for Order Items","Cadeau-berichten toestaan op orderniveau"
"Allow Gift Messages on Order Level","Cadeau-berichten toestaan op orderniveau"
"Are you sure?","Weet u het zeker?"
"Cancel","Annuleer"
"Do you have any gift items in your order?","Zitten er kado's bij uw bestelling?"
"Edit","Bewerken"
"From","Van"
"Gift Message","Cadeau-bericht"
"Gift Options","Kado opties"
"Gift Options for Individual Items","Cadeau-opties voor individuele items"
"Item %d of %d","Artikel %d van %d"
"Message","Bericht"
"No","Nee"
"OK","Oké"
"Save Gift Message","Kadobericht opslaan"
"To","Tot"
"Unknown entity type","Onbekend entiteittype"
"Use config","Gebruik configuratie"
"Yes","Ja"
