"* Select shipping method","*Selecteer een verzendmethode"
"2Day","2 Day"
"2nd Day Air","24 uurs zending (lucht)"
"2nd Day Air AM","48 uurs zending (lucht)"
"3 Day Select","72 uur (select)"
"Add Shipping Method","Voeg verzendmethode toe"
"Allowed Methods","Toegestane methodes"
"Amount: %s","Bedrag: %s"
"Auto-generated from GoogleCheckout Charge","Automatisch van GoogleCheckout Charge"
"CC Partial: xxxx-%s","CC Gedeeltelijk: xxxx-%s"
"Carrier Calculated Methods","Tranporteur berekende methodes"
"Cart Discount","Winkelwagen korting"
"Checkout Image Style","Kassa afbeelding stijl"
"Commercial","Commercieel"
"Continue Shopping URL","Winkel verder URL"
"Debug","Fouten opsporen"
"Default Package Height (in)","Standaard Pakkethoogte"
"Default Package Length (in)","Standaard Pakketlengte"
"Default Package Width (in)","Standaard Pakketbreedte"
"Default price:","Standaard prijs:"
"Delivery Address Category","Verzendadres categorie"
"Disable Default Tax Tables","Deactiveer de standaard BTW tabellen"
"Enable","Inschakelen"
"Enable Carrier Calculated","Activeer transporteur berekening"
"Enable Digital Delivery","Digitaal afleveren activeren"
"Enable Flat Rate","Activeer plat tarief"
"Enable Merchant Calculated","Activeer eigen berekening"
"Enable this if your checkout request is too big and being cut off.","Activeer dit als de kassa aanvraag te groot is en afgekapt wordt."
"Expiration: %s","Vervaldatum: %s"
"Express Mail","Express post"
"Express Saver","Express voordeeltarief"
"Financial: %s -> %s","Financieel: %s -> %s"
"First Overnight","Deze nacht"
"Free Shipping","Gratis verzending"
"Fulfillment: %s -> %s","Vervulling: %s -> %s"
"Google API","Google Ads"
"Google Authorization:","Google Autorisatie:"
"Google Charge:","Google kosten"
"Google Checkout Shipping - Carrier Calculated","Google Checkout Verzenden - Transporteur Berekend"
"Google Checkout Shipping - Digital Delivery","Google Checkout Shipping - Digitale aflevering"
"Google Checkout Shipping - Flat Rate","Google Checkout Verzenden - Plat tarief"
"Google Checkout Shipping - Merchant Calculated","Google Checkout Verzenden - Eigen Berekening"
"Google Order Number: %s","Google order nummer: %s"
"Google Refund:","Google credit:"
"Google Risk Information:","Google Risico Informatie:"
"Ground","Grond vervoer"
"Home Delivery","Thuisaflevering"
"IP Address: %s","IP Adres: %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","Wanneer geactiveerd, worden de artikelen in de winkelwagent verborgen nadat er op de Google Checkout knop is gedrukt, en komen weer tevoorschijn wanneer op ""Wijzig winkelwagen"" wordt geclickt"
"Inches","Inch"
"Large - %s","Groot - %s"
"Latest Charge: %s","Laatste betaling: %s"
"Latest Refund: %s","Laatste credit"
"Location","Plaats"
"Media Mail","Mediapost"
"Merchant ID","Merchant-ID"
"Method","Methode"
"New Order Status","Nieuwe orderstatus"
"Next Day Air","Morgen per luchtpost"
"Next Day Air Early AM","Morgenvroeg per luchtvracht"
"Next Day Air Saver","Volgende dag met besparing"
"No","Nee"
"Optional, leave empty for home page.","Optioneel, leeg laten voor homepage"
"Parcel Post","Pakketpost"
"Priority Mail","Priority Post"
"Rate 1 Amount","Bedrag Tarief 1"
"Rate 1 Ship To Applicable Countries","Tarief 1 Verzend naar geactiveerde landen"
"Rate 1 Ship to Specific Countries","Tarief 1 Verzend naar specifieke landen"
"Rate 1 Title","Titel Tarief 1"
"Rate 2 Amount","Bedrag Tarief 2"
"Rate 2 Ship To Applicable Countries","Tarief 2 Verzend naar geactiveerde landen"
"Rate 2 Ship to Specific Countries","Tarief 2 Verzend naar specifieke landen"
"Rate 2 Title","Titel Tarief 2"
"Rate 3 Amount","Bedrag Tarief 3"
"Rate 3 Ship To Applicable Countries","Tarief 3 Verzend naar geactiveerde landen"
"Rate 3 Ship to Specific Countries","Tarief 3 Verzend naar specifieke landen"
"Rate 3 Title","Titel Tarief 3"
"Residential","Particulier"
"Secure Callback URL","Beveiligde Callback URL"
"Small - %s","Klein - %s"
"Standard Overnight","Standaard vannacht"
"Title","Titel"
"Total Charged: %s","Totaal berekend: %s"
"Total Refunded: %s","Total gecrediteerd: %s"
"Transparent","Transparant"
"United Kingdom","Verenigd Koninkrijk"
"United States","Verenigde Staten"
"White Background","Witte achtergrond"
"Yes","Ja"
"You will be redirected to GoogleCheckout in a few seconds.","U wordt binnen enkele seconden doorverwezen naar Google Checkout"
