" for more information or "," voor meer informatie of "
"# of Items (and above)","# artikelen (en hierboven)"
"# of Items vs. Destination","# artikelen versus bestemming"
"Allow Shipping to Multiple Addresses","Verzending naar meer adressen toestaan"
"Calculate Handling Fee","Verzendkosten berekenen"
"Carrier:","Vervoerder:"
"City","Plaatsnaam"
"Close Window","sluit venster"
"Condition","conditie"
"Country","Land"
"Custom Value","Speciale waarde"
"Date","Datum"
"Delivered on:","Afgeleverd op:"
"Delivered to:","Afgeleverd aan:"
"Description","Omschrijving"
"Displayed Error Message","Weergegeven foutmelding"
"Enabled","Ingeschakeld"
"Error:","Fout:"
"Export","Exporteer"
"Fixed","Vast"
"Flat Rate","Vast tarief"
"Free Shipping","Gratis verzending"
"Handling Fee","Verwerkingskosten"
"Import","Importeer"
"Include Virtual Products in Price Calculation","Virtuele Producten eveneens mee laten tellen bij berekening"
"Info:","Informatie:"
"Invalid Table Rate code for type %s: %s","Ongeldige prijstabel-code voor type %s: %s"
"Invalid Table Rate code type: %s","Ongeldige prijstabel-code type: %s"
"Invalid Table Rates File Format","Ongeldig bestandsformaat van prijstabel"
"Local Time","Lokale tijd"
"Location","Plaats"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Maximaal aantal voor verzending naar meer adressen"
"Method Name","Naam van methode"
"Minimum Order Amount","Minimum bestelbedrag"
"N/A","n.v.t."
"None","Geen"
"Options","Opties"
"Order Subtotal (and above)","Subtotaal bestelling (en hierboven)"
"Origin","Herkomst"
"Per Order","Per bestelling"
"Per Package","Per pakket"
"Percent","Percentage"
"Price","Prijs"
"Price vs. Destination","Prijs versus bestemming"
"Region/State","Provincie"
"Service Type:","Service-type"
"Ship to Applicable Countries","Verzenden naar landen die van toepassing zijn"
"Ship to Specific Countries","Verzenden naar bepaalde landen"
"Shipment #","Verzendnummer "
"Shipped or billed on:","Verzonden of betaald op:"
"Shipping Methods","Verzendmethoden"
"Shipping Settings","Verzendinstellingen"
"Show Method if Not Applicable","Laat verzendmethode zien indien niet van toepassing"
"Signed by:","Getekend door"
"Sort Order","Sorteervolgorde"
"Status:","Status"
"Store Pickup","Afhalen"
"Street Address","Adres"
"Street Address Line 2","Adres"
"Table Rates","Tarieven prijstabel"
"The shipping module is not available.","Deze verzendmethode is niet beschikbaar"
"There is no tracking available for this shipment.","Er is geen tracking beschikbaar voor deze verzending."
"There is no tracking available.","Er is geen tracking beschikbaar."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Deze verzendwijze is momenteel niet beschikbaar. Als u deze verzendwijze wilt gebruiken, neem dan contact met ons op."
"Title","Titel"
"Track:","Tracking:"
"Tracking Information","Track en Trace informatie"
"Tracking Number:","Trackingnummer:"
"Tracking information is currently not available. Please ","Tracking-informatie is momenteel niet beschikbaar. Gelieve te gebruiken "
"Tracking information is currently unavailable.","Tracking-gegevens zijn momenteel niet beschikbaar."
"Type","Soort"
"Weight (and above)","Gewicht (en daarboven)"
"Weight vs. Destination","Gewicht versus bestemming"
"Weight:","Gewicht:"
"ZIP/Postal Code","Postcode"
"contact us","neem contact op"
