"Add","Toevoegen"
"Add New Role","Nieuwe rol toevoegen"
"Address Type","Adrestype"
"Admin","Beheerder"
"Allow","Toestaan"
"Assigned","Toegewezen"
"Attribute Set","Attributenset"
"Attributes","Attributen"
"Automatically Return Credit Memo Item to Stock","Voeg product toe aan voorraad indien er een creditfactuur is opgesteld"
"Back","Terug"
"Backorders","Nabestellingen"
"Base Currency","Basis-valuta"
"Catalog","Catalogus"
"Category ID","Categorie ID"
"City","Plaatsnaam"
"Company","Bedrijf"
"Country","Land"
"Coupon Code","Tegoedbon code"
"Create","Creëren"
"Create Permanent Redirect for old URL","Maak een permanente doorverwijzing voor de oude URL"
"Customer","Klant"
"Customer Address","Klantadres"
"Customer First Name","Voornaam klant"
"Customer ID","Klant ID"
"Customer Last Name","Achternaam klant"
"Delete","Verwijder"
"Deny","Weigeren"
"Discount","Korting"
"Discount Amount","Korting"
"Edit","Bewerken"
"Edit Role","Wijzig rol"
"Email","E-mail"
"Enable Qty Increments","Activeer opklimmende aantallen"
"Exclude","Sluit uit"
"File Name","Bestandsnaam"
"First Name","Voornaam"
"Gift Message","Cadeau-bericht"
"Grand Total","Eindtotaal"
"Grand Total to Be Charged","Eindtotaal dat in rekening wordt gebracht"
"Group","Groep"
"Guest","Bezoeker"
"Label","label"
"Last Name","Achternaam"
"Manage Stock","Voorraad beheren"
"Maximum Qty Allowed in Shopping Cart","Maximaal aantal in winkelwagen"
"Minimum Qty Allowed in Shopping Cart","Minimaal aantal  in winkelwagen"
"New Role","Nieuwe rol"
"Notify for Quantity Below","Melden bij Aantal lager dan"
"Order","Bestelling"
"Order Comments","Bestellingsnotities"
"Order Date","Besteldatum"
"Order ID","Bestelling ID"
"Order Status","Bestelling Status"
"Orders","Bestellingen"
"Original Price","Oorspronkelijke prijs"
"Payment Method","Betaalmethode"
"Phone Number","Telefoonnummer"
"Placed from IP","Verstuurd vanaf IP"
"Position","Positie"
"Price","Prijs"
"Product ID","Product-ID"
"Product Type","Producttype"
"Qty","Aantal"
"Qty Increments","Opklimmend aantal"
"Qty Uses Decimals","Hoeveelheid gebruikt decimalen"
"Role Info","Rol info"
"Role Information","Rol informatie"
"Role Name","Rolnaam"
"Role Users","Rol gebruikers"
"Roles","Rollen"
"SKU","Art.nr."
"Sales","Verkopen"
"Save","Opslaan"
"Shipping Amount","Afleverbedrag"
"Shipping Method","Bezorgmethode"
"State","Provincie"
"Stock Availability","Beschikbaarheid voorraad"
"Stock Status","Voorraadstatus"
"Store Name","Winkelnaam"
"Subtotal","Subtotaal"
"System","Systeem"
"Tax Amount","BTW-bedrag"
"Tax Percent","BTW-percentage"
"Tax Rate","BTW-tarief"
"Total Due","Totaal te betalen"
"Total Paid","Totaal betaald"
"Total Refunded","Totaal terugbetaald"
"Type","Soort"
"Update","Bijwerken"
"ZIP/Postal Code","Postcode"
