"# of Uses","# keer gebruikt"
"Action","Actie"
"Add","Toevoegen"
"Add New Tag","Nieuwe tag toevoegen"
"Add Tags","Tags toevoegen"
"Add Your Tags:","Uw tags toevoegen"
"Add to Cart","In Winkelwagen"
"Add to Wishlist","Toevoegen aan verlanglijst"
"All Tags","Alle tags"
"Approved","Akkoord"
"Are you sure you want to delete this tag?","Weet u zeker dat u deze tag wilt verwijderen?"
"Are you sure you want to do this?","Weet u zeker dat u dit wilt doen?"
"Are you sure?","Weet u het zeker?"
"Back","Terug"
"Back to Tags List","Terug naar tags-lijst"
"Block Information","Blok informatie"
"Change status","Verander status"
"Click on a tag to view your corresponding products.","Klik op een tag om de btreffende producten te bekijken"
"Country","Land"
"Customer Since","Klant Sinds"
"Customers","Klanten"
"Customers Tagged '%s'","Klanten getagd ‘%s’"
"Delete","Verwijder"
"Delete Tag","Tag verwijderen"
"Disabled","Uitgeschakeld"
"Edit Tag '%s'","Tag ‘%s’ bewerken"
"Email","E-mail"
"First Name","Voornaam"
"General Information","Algemene informatie"
"Grid","Foto-tabel"
"Last Name","Achternaam"
"List","Lijst"
"My Recent Tags","Mijn recente tags"
"My Tags","Mijn tags"
"Name","Naam"
"New Tag","Nieuwe tag"
"No matches found.","Geen resultaten"
"Other people marked this product with these tags:","Anderen markeerden dit product met deze tags:"
"Pending","In afwachting"
"Pending Tags","Hangende tags"
"Popular","Populair"
"Popular Tags","Populaire tags"
"Price","Prijs"
"Product Name","Product Naam"
"Product SKU","Artikelnummer"
"Product Tags","Eigen tags"
"Products","Producten"
"Products Tagged with '%s'","Producten getagd met ‘%s’"
"Products tagged with '%s'","Producten getagd met ‘%s’"
"Remove","Verwijder"
"SKU","Art.nr."
"Save Tag","Tag opslaan"
"Save and Continue Edit","Opslaan en doorgaan met bewerken"
"Status","status"
"Store View","Winkelaanzicht"
"Tag Name","Tag-naam"
"Tags","tags"
"Tags:","Tags"
"Telephone","Telefoon"
"Unable to find any products tagged with '%s' in the current store","Kon geen producten vinden met de tag ‘%s’ in de huidige winkel"
"Unable to remove tag. Please, try again later.","Kon tag niet verwijderen. Probeer later opnieuw."
"Update","Bijwerken"
"Use spaces to separate tags. Use single quotes (') for phrases.","Gebruik spaties om tags te scheiden. Gebruik enkele aanhalingstekens (‘) voor woordgroepen."
"View All Tags","Alle tags bekijken"
"View Customers","Klanten bekijken"
"View Products","Producten bekijken"
"You have not tagged any products yet.","U hebt nog geen produten een tag gegeven."
"ZIP/Post Code","Postcode"
"[STORE VIEW]","[WINKELWEERGAVE]"
