"Done","Gereed"
"Less than a minute","Minder dan een minuut"
"Memory Used: %s","Gebruikt geheugen: %s"
"Processed records: %s","%s records verwerkt"
"Sheet 1","Blad 1"
"Starting %s :: %s","Beginnen met %s :: %s"
"Total records: %s","Totaal-aantal records: %s"
"hour","uur"
"hours","uren"
"minute","minuut"
"minutes","minuten"
