"Allowed Methods","Métodos Permitidos"
"Debug","Depurar"
"Enable","Ativar"
"First Overnight","Envio Noturno Prioritário"
"Free Shipping","Portes Grátis"
"Google API","API do Google"
"Ground","Terrestre"
"Home Delivery","Entrega ao Domicílio"
"Inches","Polegadas"
"Location","Localização"
"Merchant ID","ID do Comerciante"
"New Order Status","Estado da Nova Encomenda"
"No","Não"
"Priority Mail","Correio Prioritário"
"Priority Overnight","Prioritário Noturno"
"Standard Overnight","Normal, Noturno"
"Title","Título"
"Yes","Sim"
