"Action","Ação"
"Add Sitemap","Adicionar mapa do site"
"Always","Sempre"
"CMS Pages Options","Opções das páginas do CMS"
"Categories Options","Opções de categorias"
"Daily","Diário"
"Edit Sitemap","Editar o mapa do site"
"Enabled","Ativo"
"Error Email Recipient","Destinatário de Email de Erro"
"Error Email Sender","Remetente de Email de Erro"
"Error Email Template","Template de Email de Erro"
"Filename","Nome do Ficheiro"
"Frequency","Frequência"
"Generate","Gerar"
"Generation Settings","Definições Gerais"
"Hourly","De hora a hora"
"ID","Id."
"Link for Google","Link para o Google"
"Monthly","Mensal"
"Never","Nunca"
"New Sitemap","Novo mapa do site"
"Path","Caminho"
"Priority","Prioridade"
"Products Options","Opções de produtos"
"Sitemap","Mapa do site"
"Sitemap generate Warnings","O Mapa do site gerou Avisos"
"Start Time","Hora de início"
"Store View","Vista da Loja"
"The priority must be between 0 and 1.","A prioridade deve ser entre 0 e 1."
"This sitemap no longer exists.","Este mapa do site já não existe."
"Weekly","Semanal"
"Yearly","Anual"
