"Action","Ação"
"Add to Cart","Adicionar ao carrinho"
"Add to Compare","Adicionar à Comparação"
"Add to Wishlist","Adicionar à Lista de Desejos"
"Any","Qualquer"
"Are you sure?","Tem a certeza?"
"Bestsellers","Best-sellers"
"Carts","Carrinhos"
"Compared Products Grid Template","Modelo de grelha de produtos comparados"
"Compared Products List Template","Modelo de lista de produtos comparados"
"Coupons","Cupões"
"Created At","Criado em"
"Customer","Cliente"
"Customer Name","Nome de Cliente"
"Customers","Clientes"
"Customers by number of orders","Clientes por número de encomendas"
"Dashboard","Painel de Administração"
"Day","Dia"
"Description","Descrição"
"Detail","Detalhe"
"Email","Correio electrónico"
"Excel XML","XML Excel"
"Filter","Filtro"
"First Name","Nome"
"From","De"
"General","Geral"
"Guest","Convidado"
"Hits","Visualizações"
"ID","Id."
"IP Address","Endereço de IP"
"Invoiced","Faturada"
"Items in Cart","Artigos no carrinho"
"Last Name","Sobrenome"
"Last Review","Último Comentário"
"List of Products Recently Viewed by Visitor","Lista de produtos visualizados recentemente por visitante"
"Month","Mês "
"Name","Nome"
"New Accounts","Novas contas"
"No","Não"
"Number of Items","Número de Itens"
"Number of Products to display","Número de Produtos a Exibir"
"Order Status","Estado da Encomenda"
"Orders","Pedidos"
"Out of stock","Esgotado"
"Price","Preço"
"Product Name","Nome do Produto"
"Product Reviews","Avaliação do Produto"
"Products","Produtos"
"Products in carts","Produtos em carrinhos"
"Purchases","Compras"
"Recently Compared","Comparados Recentemente"
"Recently Compared Products","Produtos comparados recentemente"
"Recently Viewed","Recentemente visto"
"Recently Viewed Products","Produtos visualizados recentemente"
"Recently Viewed/Compared Products","Produtos visualizados/comparados recentemente"
"Refresh Lifetime Statistics","Recarregar Estatísticas Desde Sempre"
"Refresh Statistics for the Last Day","Recarregar Estatísticas para o Último Dia"
"Refunds","Reembolsos"
"Report","Relatório"
"Reports","Relatórios"
"Results","Resultados"
"Revenue","Receitas"
"Review","Avaliação"
"Reviews","Avaliações"
"Sales","Vendas"
"Search Query","Pesquisa"
"Search Terms","Termos de Pesquisa"
"Shipping","Envio"
"Shopping Cart","Carrinho de compras"
"Show Actual Values","Mostrar valores atuais"
"Specified","Especificado"
"Subtotal","Sub-total"
"Tax","Taxa"
"Title","Título"
"To","Para"
"Updated At","Atualizado Em"
"Viewed Products Grid Template","Modelo de grelha de produtos vistos"
"Viewed Products List Template","Modelo de lista de produtos vistos"
"Year","Ano"
"Yes","Sim"
