"Add","Adicionar"
"Add New Role","Adicionar Nova Função"
"Address Type","Tipo de Morada"
"Admin","Administrador"
"Allow","Autorizar"
"Assigned","Atribuído"
"Attribute Set","Conjunto de Atributos"
"Attributes","Atributos"
"Automatically Return Credit Memo Item to Stock","Repor Stock Automaticamente do Item da Nota de Crédito"
"Back","Voltar"
"Backorders","Encomendas pendentes"
"Base Currency","Moeda Base"
"Catalog","Catálogo"
"Category ID","ID da Categoria"
"City","Cidade"
"Company","Empresa"
"Country","País"
"Coupon Code","Código do Cupão"
"Create","Criar"
"Create Permanent Redirect for old URL","Criar Redirecionamento Permanente para o URL antigo"
"Customer","Cliente"
"Customer Address","Morada do Cliente"
"Customer First Name","Nome do Cliente"
"Customer ID","ID do Cliente"
"Customer Last Name","Sobrenome do Cliente"
"Delete","Eliminar"
"Deny","Recusar"
"Discount","Desconto"
"Discount Amount","Desconto"
"Edit","Editar"
"Edit Role","Editar Função"
"Email","Correio electrónico"
"Enable Qty Increments","Ativar Incrementos de Qtd"
"Exclude","Excluir"
"First Name","Nome"
"Gift Message","Mensagem da Oferta"
"Grand Total","Preço Final"
"Group","Grupo"
"Guest","Convidado"
"ID","Id."
"Label","Etiqueta"
"Last Name","Sobrenome"
"Manage Stock","Gerir Stock"
"Maximum Qty Allowed in Shopping Cart","Qtd máxima permitida no carrinho de compras"
"Minimum Qty Allowed in Shopping Cart","Qtd Mínima Permitida no Carrinho de Compras"
"New Role","Nova Função"
"Notify for Quantity Below","Notificar quando a quantidade for inferior a"
"Order","Encomenda"
"Order Comments","Comentário da encomenda"
"Order Date","Data da Encomenda"
"Order ID","ID da Encomenda"
"Order Status","Estado da Encomenda"
"Orders","Pedidos"
"Original Price","Preço original"
"Payment Method","Método de Pagamento"
"Phone Number","Número de Telefone"
"Position","Posição"
"Price","Preço"
"Product","Produto"
"Product ID","ID de produto"
"Qty","Qtd"
"Qty Increments","Incrementos de Qtd"
"Qty Uses Decimals","Qtd É Décimal"
"Role Info","Informação da Função"
"Role Information","Informação da Função"
"Role Name","Nome da Função"
"Role Users","Utilizadores com a Função"
"Roles","Funções"
"SKU","REF"
"Sales","Vendas"
"Save","Gravar"
"Shipping Amount","Valor de portes"
"Shipping Method","Modo de Envio"
"State","Estado"
"Stock Availability","Disponibilidade de Stock"
"Stock Status","Estado do Stock"
"Store Name","Nome da loja"
"Subtotal","Sub-total"
"System","Sistema"
"Tax Amount","Valor do imposto"
"Tax Percent","Percentagem de taxa"
"Tax Rate","Taxa"
"Total Paid","Total pago"
"Total Refunded","Total Reembolsado"
"Type","Tipo"
"Update","Actualizar"
"ZIP/Postal Code","Código Postal"
