"Action","Ação"
"Are you sure you want to delete the selected backup(s)?","Tem a certeza que pretende remover o(s) backup(s) selecionado(s)?"
"Create Backup","Criar Backup"
"Database","Base de Dados"
"Database Backup","Backup à Base de Dados"
"Database and Media","Base de Dados e ficheiros Media"
"Database and Media Backup","Backup à Base de Dados e ficheiros Media"
"Download","Transferir"
"Enable Scheduled Backup","Ativar Backups Agendados"
"Frequency","Frequência"
"Maintenance Mode","Modo de Manutenção"
"Name","Nome"
"Rollback","Reverter"
"Start Time","Hora de início"
"System","Sistema"
"System (excluding Media)","Sistema (excluindo ficheiros Media)"
"System Backup","Backup ao Sistema"
"Time","Hora"
"Type","Tipo"
