"-- Please Select --","-- Por favor, selecione --"
"Add New Tax Rate","Adicionar Nova Taxa de Imposto"
"Add New Tax Rule","Adicionar Nova Regra de Taxa"
"After Discount","Após o Desconto"
"Are you sure you want to do this?","Tem certeza que quer fazer isso?"
"Back","Voltar"
"Before Discount","Antes do Desconto"
"Code","Código"
"Country","País"
"Customer Tax Class","Classe de Imposto do Cliente"
"Customer Tax Classes","Classes de Impostos dos Clientes"
"Default Country","País Pré-defindo"
"Delete Rate","Eliminar Taxa"
"Delete Rule","Remover Regra"
"Display Subtotal","Mostrar subtotal"
"Edit Rule","Editar Regra"
"Edit Tax Rate","Editar a taxa"
"Excel XML","XML Excel"
"Excl. Tax","Excluindo impostos"
"Excluding Tax","Excluindo Impostos"
"Export Tax Rates","Exportar Taxas de Imposto"
"Grand Total (Excl. Tax)","Total (s/IVA)"
"Grand Total (Excl.Tax)","Total (s/IVA)"
"Grand Total (Incl. Tax)","Total (c/IVA)"
"Grand Total (Incl.Tax)","Total (c/IVA)"
"Grand Total Excl. Tax","Total s/IVA"
"Grand Total Incl. Tax","Total c/IVA"
"Import Tax Rates","Taxas de Imposto de Importação"
"Inc. Tax","IVA Incluído"
"Incl. Tax","Imposto incl."
"Including Tax","Incluindo Impostos"
"Including and Excluding Tax","Incluindo e Excluindo Impostos"
"Invalid file upload attempt","Tentativa de carregamento de arquivo inválido"
"Manage Tax Rates","Gerir Taxas"
"Manage Tax Rules","Gerir Regras de Taxas"
"Name","Nome"
"New Rule","Nova Regra"
"New Tax Rate","Adicionar Taxa"
"No","Não"
"None","Nenhum"
"Priority","Prioridade"
"Product Tax Class","Taxa de Imposto do Cliente"
"Range From","Intervalo De"
"Range To","Intervalo Até"
"Rate Percent","Percentagem da Taxa"
"Reset","Repor"
"Row Total","Total da Linha"
"Sales","Vendas"
"Save Rate","Gravar Taxa"
"Save Rule","Gravar Regra"
"Save and Continue Edit","Gravar e Continuar Edição"
"Shipping & Handling (Excl.Tax)","Transporte e Processamento (s/IVA)"
"Shipping & Handling (Incl.Tax)","Transporte e Processamento (c/IVA)"
"Shipping (Excl. Tax)","Expedição (Excl. IVA)"
"Shipping (Incl. Tax)","Expedição (c/IVA)"
"Sort Order","Ordenação"
"State","Estado"
"Subtotal (Excl. Tax)","Subtotal (s/IVA)"
"Subtotal (Excl.Tax)","Subtotal (s/IVA)"
"Subtotal (Incl. Tax)","Subtotal (c/IVA)"
"Subtotal (Incl.Tax)","Subtotal (c/IVA)"
"Tax","Taxa"
"Tax Calculation Based On","Cálculo de Impostos Baseado Em"
"Tax Identifier","Identificador Fiscal"
"Tax Rate","Taxa"
"Tax Rate Information","Informação da Taxa de Imposto"
"Tax Rule Information","Informação da Regra de Taxa"
"Tax Rules","Regras de Impostos"
"Tax Titles","Títulos da Classe de Imposto"
"Tax rates at the same priority are added, others are compounded.","Taxas de imposto com a mesma prioridade são somadas, as outras são adicionadas."
"This rule no longer exists.","Esta regra já não existe."
"Unit Price","Preço unitário"
"Yes","Sim"
"Zip/Post Code","Código Postal"
"Zip/Post is Range","Código Postal está no Intervalo"
