"Actions","Ações"
"Active","Ativo"
"Add New Rule","Adicionar Nova Regra"
"Apply","Aplicar"
"Apply Rules","Aplicar Regras"
"Attribute Set","Conjunto de Atributos"
"Catalog","Catálogo"
"Catalog Price Rule","Regra de Preço de Catálogo"
"Catalog Price Rules","Regras de Preço do Catálogo"
"Category","Categoria"
"Conditions","Condições"
"Conditions Combination","Combinação de Condições"
"Customer Groups","Grupos de Clientes"
"Date From","Data desde"
"Date To","Data até"
"Description","Descrição"
"Discount Amount","Desconto"
"Edit Rule","Editar Regra"
"Expiration Date","Data de validade"
"General Information","Informação Geral"
"ID","Id."
"Inactive","Inativo"
"New Rule","Nova Regra"
"No","Não"
"Options","Opções"
"Priority","Prioridade"
"Product Attribute","Atributo do Produto"
"Promotions","Promoções"
"Rule Information","Informação da Regra"
"Rule Name","Nome da Regra"
"Save and Apply","Gravar e Aplicar"
"Save and Continue Edit","Gravar e Continuar Edição"
"Start Date","Data de Início"
"Status","Estado"
"This rule no longer exists.","Esta regra já não existe."
"Type","Tipo"
"Website","Site"
"Websites","Sites"
"Yes","Sim"
