"Add New Rating","Adicionar nova classificação"
"Assigned Options","Opções atribuídas"
"Be the first to review this product","Seja o primeiro a avaliar este produto"
"Default Value","Valor Pré-definido"
"Delete Rating","Apagar classificação"
"ID","Id."
"Manage Ratings","Gerir Classificações"
"New Rating","Nova classificação"
"Option Title","Título da opção"
"Option Title:","Título da opção:"
"Rating Information","Informação da classificação"
"Rating Title","Título de classificação"
"Rating Visibility","Visibilidade da Classificação"
"Rating isn't Available","Classificação não disponível"
"Save Rating","Guardar classificação"
"Sort Order","Ordenação"
