"Action","Ação"
"Add","Adicionar"
"Add to Cart","Adicionar ao carrinho"
"Add to Wishlist","Adicionar à Lista de Desejos"
"Approved","Aprovado"
"Are you sure you want to do this?","Tem certeza que quer fazer isso?"
"Are you sure?","Tem a certeza?"
"Back","Voltar"
"Block Information","Informação de Blocos"
"Change status","Alterar estado"
"Country","País"
"Customer Since","Cliente Desde"
"Customers","Clientes"
"Delete","Eliminar"
"Disabled","Inativo"
"Email","Correio electrónico"
"First Name","Nome"
"General Information","Informação Geral"
"Grid","Grelha"
"ID","Id."
"Last Name","Sobrenome"
"List","Lista"
"Name","Nome"
"Pending","Pendente"
"Price","Preço"
"Product Name","Nome do Produto"
"Products","Produtos"
"Remove","Eliminar"
"SKU","REF"
"Save and Continue Edit","Gravar e Continuar Edição"
"Status","Estado"
"Store View","Vista da Loja"
"Tags","Etiquetas"
"Update","Actualizar"
"ZIP/Post Code","Código Postal"
"[STORE VIEW]","[VISTA DE LOJA]"
