"All Websites","Todos os Sites"
"Display Prices In Emails","Mostrar Preços em Emails"
"Display Prices In Product Lists","Mostrar Preços nas Listas de Produtos"
"Display Prices In Sales Modules","Mostrar Preços em Módulos de Vendas"
"Display Prices On Product View Page","Mostrar Preços na Página de Visualização do Produto"
"Enable FPT","Ativar Impostos Fixos de Produto"
"Excluding FPT","Excluindo IFP"
"Fixed Product Tax","Imposto Fixo do Produto"
"Fixed Product Taxes","Impostos Fixos do Produto"
"Include FPT In Subtotal","Incluir IFP no Subtotal"
"Including FPT and FPT description","Incluindo IFP e descrição dos IFP"
"Including FPT only","Incluindo apenas IFP"
"Total Incl. Tax","Total, Impostos Incl."
