"Base URL","URL Base"
"Configuration","Configuração"
"Confirm Password","Confirmar Palavra-passe"
"Continue","Continuar"
"Database","Base de Dados"
"Download","Transferir"
"Email","Correio electrónico"
"Email Address","Endereço de Email"
"Enable Charts","Ativar Gráficos"
"Encryption Key","Chave de Encriptação"
"File System","Sistema de Ficheiros"
"First Name","Nome"
"Host","Servidor"
"Last Name","Sobrenome"
"Locale","Região"
"Password","Palavra-passe"
"Password Confirmation","Confirmação da palavra-passe"
"Personal Information","Informação Pessoal"
"Report All Bugs","Reportar Todos Os Bugs"
"Required Fields","Campos Obrigatórios"
"Secure Base URL","URL Base Seguro"
"User Name","Nome de utilizador"
"User Password","Palavra-passe do Utilizador"
"Username","Nome de utilizador"
