"%1$s incl tax.","%1$s כולל מס."
"* Required Fields","* שדות חובה"
"-- Select --","-- בחר --"
"Add New Option","הוסף אפשרות חדשה"
"Add Selection","הוסף נבחרים"
"As Low as","המחיר הכי נמוך"
"As low as","המחיר הנמוך ביותר"
"Bundle Items","מוצרי באנדל"
"Bundle Product","מוצר מקובץ"
"Buy %1$s for %2$s","קנה %1$s עבור %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","קנה %1$s עבור %2$s (כולל מס %3$s) ליחידה"
"Buy %1$s for %2$s each","קנה %1$s עבור %2$s ליחידה"
"Buy %1$s with %2$s discount each","קנה %1$s עם %2$s הנחה ליחידה"
"Checkbox","תיבת סימון"
"Choose a selection...","לבחור בחירה..."
"Click for price","לחץ לקבלת מחיר"
"Close","סגור"
"Default","ברירת מחדל"
"Default Qty","כמות ברירת מחדל"
"Default Title","כותרת ברירת המחדל"
"Drop-down","פקד דרופ-דאון"
"Dynamic","דינמי"
"Excl. Tax","למעט מס"
"Excl. Tax:","לא כולל מס:"
"Fixed","קבוע"
"From","מ-"
"From:","מ:"
"Gift Message","הודעת מתנה"
"Incl. Tax","כולל מס"
"Incl. Tax:","כולל מס:"
"Input Type","סוג הקלט"
"Is Required","נדרש"
"Message:","הודעה:"
"Multiple Select","בחירה מרובה"
"N/A","לא זמין"
"No options of this product are available.","אין אפשרויות זמינות למוצר זה."
"None","ללא"
"Percent","אחוז"
"Percent Discount","אחוז הנחה"
"Please enter search conditions to view products.","אנא בחר תנאי חיפוש בכדי לסקור מוצרים"
"Please select options for product.","אנא בחר אפשרויות של מוצרים."
"Please specify product option(s).","אנא ציין את אפשרות או אפשרויות המוצר."
"Position","מיקום"
"Price Range","טווח מחירים"
"Price Type","סוג מחיר"
"Price as configured","מחיר כפי שהוגדר"
"Qty:","כמות:"
"Radio Buttons","כפתורי רדיו"
"SKU","מק''ט"
"Separately","בנפרד"
"Ship Bundle Items","שלח צרור מוצרים"
"Shipment","משלוח"
"Store View Title","כותרת תצוגת החנות"
"This product is also part of bundle(s)","מוצר זה הוא חלק מחבילה "
"To","ל-"
"To:","ל:"
"Together","ביחד"
"Total incl. Tax: %1$s","סה""כ כולל מע""מ: %1$s"
"Use Default Value","השתמש בערך ברירת המחדל"
"User Defined Qty"," Qty מוגדרת על ידי משתמש"
"and","וגם"
"each","כל אחד"
"save","שמור"
