"Action","פעולה"
"Delete","מחק"
"Description","תיאור"
"Disable","השבת"
"Enable","אפשר"
"General","כללי"
"Index Management","ניהול אינדקס"
"Mode","מצב"
"Never","לעולם לא"
"No","לא"
"Processing","מעבד"
"Ready","מוכן"
"Refresh","רענן"
"Status","סטטוס"
"System","מערכת"
"Update on Save","עדכון בעת שמירה"
"Updated At","עודכן ב"
"Yes","כן"
