"Error Email Recipient","שגיאת נמען דואר אלקטרוני"
"Error Email Sender","שגיאת שולח דואר אלקטרוני"
"Error Email Template","שגיאת תבנית דואר אלקטרוני"
"Frequency","תדירות"
"Start Time","שעת התחלה"
