"Add","הוספה"
"Allow Gift Messages for Order Items","אפשר צירוף ברכה לפריט מוזמן"
"Allow Gift Messages on Order Level","אפשר צירוף ברכה כללית להזמנה"
"Are you sure?","האם אתה בטוח?"
"Cancel","ביטול"
"Do you have any gift items in your order?","יש לך פריטי מתנה בהזמנה שלך?"
"Edit","ערוך"
"From","מ-"
"Gift Message","הודעת מתנה"
"Gift Options","אפשרויות מתנה"
"Gift Options for Individual Items","אפשרויות מתנה עבור פריטים בודדים"
"Item %d of %d","פריט %d מתוך %d"
"Message","הודעה"
"No","לא"
"OK","אישור"
"Save Gift Message","שמור הודעת מתנה"
"To","ל-"
"Unknown entity type","טיפוס לא ידוע"
"Use config","השתמש בהגדרה"
"Yes","כן"
