" for more information or "," לקבלת מידע נוסף או "
"# of Items (and above)","# של פריטים (ומעלה)"
"# of Items vs. Destination","# מהפריטים לעומת היעד"
"Allow Shipping to Multiple Addresses","אפשר משלוח למספר כתובות"
"Calculate Handling Fee","חישוב דמי טיפול"
"Carrier:","מוביל:"
"City","עיר"
"Close Window","סגירת חלון"
"Condition","תנאי"
"Country","ארץ"
"Custom Value","ערך מותאם אישית"
"Date","תאריך"
"Delivered on:","נמסר ב:"
"Delivered to:","נמסר ל:"
"Description","תיאור"
"Displayed Error Message","הצגת הודעת שגיאה"
"Divide to equal weight (one request)","חלוקה למשקל שווה (בקשה אחת)"
"Enabled","פעיל"
"Error:","שגיאה:"
"Export","ייצוא"
"Fixed","קבוע"
"Flat Rate"," שיעור Flat"
"Free Shipping","משלוח חינם"
"Handling Fee","דמי טיפול"
"Import","ייבא"
"Info:","מידע:"
"Invalid Table Rate code for type %s: %s","שקלול סוג הקוד בטבלא שגוי %s: %s"
"Invalid Table Rate code type: %s","שקלול סוג הקוד בטבלא שגוי: %s"
"Invalid Table Rates File Format","פורמט קובץ טבלת שיעורים לא תקינה"
"Local Time","זמן מקומי"
"Location","מיקום"
"Maximum Qty Allowed for Shipping to Multiple Addresses","כמות המרבית המותרת עבור משלוח לכתובות מרובות"
"Minimum Order Amount","כמות מינימלית להזמנה"
"N/A","לא זמין"
"None","ללא"
"Options","אפשרויות"
"Order Subtotal (and above)","סכום כולל משני של הזמנה (ומעלה)"
"Origin","מקור"
"Per Order","לכל הזמנה"
"Per Package","לכל חבילה"
"Percent","אחוז"
"Price","מחיר"
"Price vs. Destination","מחיר לעומת יעד"
"Region/State","אזור/מדינה"
"Service Type:","סוג שירות:"
"Shipment #","משלוח #"
"Shipped or billed on:","נשלח או חוייב ב:"
"Shipping Methods","שיטות המשלוח"
"Shipping Methods Section","איזור - שיטות שילוח"
"Shipping Settings","הגדרות משלוח"
"Shipping Settings Section","סעיף ההגדרות משלוח"
"Show Method if Not Applicable","הצג שיטה אם אינה ישימה"
"Signed by:","נחתם ע""י:"
"Sort Order","סדר מיון"
"Status:","מצב:"
"Store Pickup","חנות פיק אפ"
"Street Address","כתובת רחוב"
"Street Address Line 2","רחוב שורה 2"
"The shipping module is not available.","מודול המשלוח אינו זמין."
"There is no tracking available for this shipment.","אין מעקב זמין עבור משלוח זה."
"There is no tracking available.","אין מעקב זמין."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","שיטת שילוח זו לא זמינה כעת. אם ברצונך להשתמש בה לשילוח אנא צור קשר."
"Title","כותרת"
"Track:","מעקב:"
"Tracking Information","מידע אודות המעקב"
"Tracking Number:","מספר מעקב:"
"Tracking information is currently not available. Please ","מידע עבור המעקב לא זמין כעת. בבקשה "
"Tracking information is currently unavailable.","מידע האיתור אינו זמין כרגע."
"Type","סוג"
"Use origin weight (few requests)","השתמש במשקל המקורי (כמה בקשות)"
"Weight (and above)","משקל (ומעלה)"
"Weight vs. Destination","משקל לעומת יעד"
"Weight:","משקל:"
"ZIP/Postal Code","מיקוד"
"contact us","צור עימנו קשר"
"email us at ","שלח לנו דוא""ל לכתובת "
