"-- Please Select --","-- אנא בחר --"
"Add to Cart","הוסף לסל"
"Choose an Option...","בחרו אפשרות..."
"Enabled","פעיל"
"General Settings","הגדרות כלליות"
"Height","גובה"
"In Stock","במלאי"
"Out of Stock","אזל מהמלאי"
"Previous","הקודם"
"Remove This Item","הסרת פריט זה"
"Width","רוחב"
