"* Required Fields","* שדות חובה"
"Admin","ממשק ניהול"
"Authorize","אישור"
"Close","סגור"
"Created At","נוצר ב-"
"Customer","לקוח"
"Delete","מחק"
"Disable","השבת"
"Disabled","לא פעיל"
"Edit","ערוך"
"Email","דואר אלקטרוני"
"Email Address","כתובת דוא""ל"
"Enable","אפשר"
"Enabled","פעיל"
"ID","מזהה"
"Key","מפתח"
"Log In","התחבר"
"Login","כניסה"
"Name","שם"
"Password","סיסמה"
"Permissions","הרשאות"
"Role Name","שם התפקיד"
"Save","שמור"
"Save and Continue Edit","שמור והמשך בעריכה"
"Status","סטטוס"
"System","מערכת"
"User ID","מזהה משתמש"
"User Name","שם משתמש"
