"%s Item(s)","%s מוצר(ים)"
"(Shift-)Click or drag to change value","(Shift-)Click או גרירה לשינו ערך"
"(ver. %s)","(גירסה. %s)"
"- Click on any of the time parts to increase it","- לחץ על חלקי הזמן כדי להגדילם"
"- Hold mouse button on any of the above buttons for faster selection.","- השאר את כפתור העכבר לחוץ על אחד הכפתורים העליונים לבחירה מהירה."
"- Use the %s buttons to select month","- השתמש בכפתורי ה- % לבחירת חודש"
"- Use the %s, %s buttons to select year","- השתמש ב-%, כפתורי % לבחירת שנה"
"- or Shift-click to decrease it","- או Shift-click בכדי להוריד"
"- or click and drag for faster selection.","- או לחץ וגרור לבחירה מהירה יותר."
"-- Please Select --","-- אנא בחר --"
"1 column","עמודה 1"
"3 columns","3 עמודות"
"About the calendar","על לוח השנה"
"Account","חשבון"
"All Pages","כל העמודים"
"Allow","אפשר"
"Click <a href=""%s"">here</a> if nothing has happened","לחץ <a href=""%s"">כאן</a>אם כלום לא קרה"
"Close","סגור"
"Close Window","סגירת חלון"
"DHTML Date/Time Selector"," תאריך/זמן סלקטור DHTML"
"Date selection:","תאריך בחירה:"
"Default Description","תיאור ברירת מחדל"
"Default welcome msg!","הודעת ברוכים הבאים ברירת מחדל!"
"Display %s first","הצג %s ראשון"
"Distributed under GNU LGPL. See %s for details.","מופץ תחת חוקי GNU LGPL. ראה %s לפרטים."
"Drag to move","גרור כדי להזיז"
"Empty","ריק"
"For latest version visit: %s","לגרסה אחרונה בקר ב: %s"
"Go Today","לך היום"
"Help Us to Keep Magento Healthy","עזור לנו לשמור בריאות מג'נטו"
"Interface Language","שפת ממשק"
"Items %s to %s of %s total","פריטים %s עד %s מתוך %s פרטים"
"Left Column","עמודה שמאלית"
"Menu","תפריט"
"Next","הבא"
"Next month (hold for menu)","חודש הבא (החזק לקבלת תפריט)"
"Next year (hold for menu)","שנה הבאה (החזק לקבלת תפריט)"
"Page:","דף:"
"Prev. month (hold for menu)","חודש קודם (החזק לתפריט)"
"Prev. year (hold for menu)","שנה קודמת (החזק לתפריט)"
"Previous","הקודם"
"Redirecting...","מכווין מחדש..."
"Report All Bugs","דווח על כל הבאגים"
"Right Column","עמודה ימנית"
"Search","חפש"
"Select Store","בחר חנות"
"Select date","בחר תאריך"
"Show","הצגה"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","זוהי חנות לדוגמא. הזמנות דרך החנות לא ימומשו בפועל."
"Time selection:","בחירת זמן:"
"Time:","זמן:"
"View All","הצג הכל"
"Welcome, %s!","s%, ברוך הבא!"
"Your Language","השפה שלך"
"Your Language:","השפה שלך:"
"per page","לכל עמוד"
