"API Login ID","מזהה הכניסה API"
"Accepted Currency","המטבע המקובל"
"Authorize Only","מורשים בלבד"
"Authorize and Capture","אושר ונקלט"
"Cancel","ביטול"
"Credit Card Types","סוג כרטיסי אשראי"
"Credit Card Verification","אימות כרטיס האשראי"
"Debug","דיבאג"
"Email Customer","דואר אלקטרוני של לקוח"
"Enabled","פעיל"
"Invalid amount for authorization.","כמות לא תקנית לאישור."
"Invalid amount for capture.","כמות לא חוקית עבור לכידה."
"Invalid amount for refund.","כמות לא תקינה עבור זיכוי."
"Maximum Order Total","סך ההזמנה המרבי"
"Merchant's Email","דואל אלקטרוני של הסוחר"
"Minimum Order Total","סך הזמנה מינימלי"
"New Order Status","סטטוס הזמנה חדשה"
"Payment Action","פעולת תשלום"
"Payment authorization error.","שגיאה באישור תשלום"
"Payment capturing error.","שגיאת לכידת תשלום."
"Payment from Applicable Countries","תשלום ממדינות מאושרות"
"Payment from Specific Countries","תשלום ממדינות ספציפיות"
"Payment refunding error.","שגיאה בקבלת זיכוי."
"Payment voiding error.","שגיאת תשלום ריק."
"Sort Order","סדר מיון"
"Test Mode","מצב בדיקה"
"Title","כותרת"
"Transaction Key","מזהה העברה"
"authorize","מאושר"
"authorize and capture","אושר ונקלט"
"capture","לכידה"
"failed","נכשל"
"refund","החזר"
"successful","עבר בהצלחה"
"void","ריק"
