"-- Please Select --","-- אנא בחר --"
"Attribute Code","קוד תכונה"
"Attribute Label","תווית תכונה"
"Check Data","בדוק נתונים"
"Customers","לקוחות"
"Destination file is not writable","קובץ היעד אינו ניתן לכתיבה"
"Entity Type","סוג הישות"
"Export","ייצוא"
"Export File Format","פורמט קובץ ייצוא"
"Export Settings","הגדרות ייצוא"
"Filter","סינון"
"From","מ-"
"Import","ייבא"
"Import Behavior","התנהגות ייבוא"
"Import Settings","הגדרות ייבוא"
"Import/Export","ייבוא/ייצוא"
"Products","מוצרים"
"Select File to Import","בחירת קובץ לייבוא"
"Status","סטטוס"
"There are no product types available for export","סוגי המוצרים לא זמינים עבור ייצוא"
"To","ל-"
"Unknown attribute filter type","סוג סינון תכונה לא ידוע"
