"%s and greater","%s ויותר"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d פריט(ים)</strong> נמצאו בחיפוש בקריטריונין"
"Advanced Search","חיפוש מתקדם"
"All","הכל"
"Catalog Advanced Search","חיפוש מתקדם בקטלוג"
"Catalog Search","חיפוש בקטלוג"
"Don't see what you're looking for?","לא רואה את מה שאתה מחפש?"
"Go","עבור"
"Go to Home Page","מעבר לעמוד הבית"
"Grid","גריד תצוגה"
"Home","דף הבית"
"List","רשימה"
"Maximum Query Length","אורך שאילתה מקסימלי"
"Maximum Query Words Count","מספר מילים מקסימלי בשאילתה"
"Minimal Query Length","אורך שאילתה מינימלי"
"Modify your search","התאם את החיפוש שלך"
"No","לא"
"No items were found using the following search criteria.","לא נמצאו תוצאות חיפוש מתאימות לקריטריונים שנבחרו"
"Popular Search Terms","מונחי חיפוש פופולריים"
"Rebuild Catalog product fulltext search index","לבנות מחדש אינדקס מוצרי קטלוג בחיפוש"
"Relevance","רלוונטיות"
"Results","תוצאות"
"Search","חפש"
"Search Settings","הגדרות חיפוש"
"Search Terms","מילות חיפוש"
"Search Type","סוג חיפוש"
"Search entire store here...","חיפוש בכל החנות..."
"Search results for '%s'","תוצאות חיפוש עבור '%s'"
"Search results for: '%s'","תוצאות חיפוש עבור: '%s'"
"Subscribe to Feed","הרשם ל- Feed"
"There are no search terms available.","אין ביטויי חיפוש."
"Yes","כן"
"Your search returns no results.","אין תוצאות לשאילתת חיפוש שלך"
"up to %s","עד ל %s"
