"ALL","הכל"
"ANY","כל"
"Add","הוספה"
"Apply","החל"
"Conditions Combination","שילוב תנאים"
"FALSE","שווא"
"If %s of these conditions are %s:","אם %s מהתנאים האלה הם %s:"
"Invalid discount amount.","גובה הנחה שגוי."
"Open Chooser","לבחירה"
"Perform following actions","ביצוע הפעולות להלן"
"Please choose a condition to add...","אנא בחר תנאי להוסיף..."
"Please choose an action to add...","אנא בחר פעולה להוסיף"
"Remove","הסר"
"TRUE","נכון"
"by","על ידי"
"contains","מכיל"
"does not contain","אינו מכיל"
"equals or greater than","שווה או גדול מ-"
"equals or less than","שווה או פחות מ-"
"for","עבור"
"for or greater than","עבור או גדול מ-"
"found","נמצא"
"from","מ-"
"greater than","גדול מ-"
"is","הוא"
"is not","איננו"
"is not one of","אינו אחד מ-"
"is one of","הוא אחד מ-"
"less than","פחות מ-"
"to","אל"
