"Actions","פעולות"
"Add Answer","הוסף תשובה"
"Add New Answer","תשובה נוספת"
"Add New Poll","הוסף סקר חדש"
"Answer Title","כותרת תשובה"
"Answer Title:","כותרת תשובה:"
"Answer with the same title in this poll","תשובה עם אותה כותרת של הסקר"
"Are you sure you want to delete it?","האם למחוק את זה?"
"Assigned Answers","תשובות משוייכות"
"Closed","נסגרה"
"Community Poll","סקר הקהילה"
"Date Closed","תאריך סגירה"
"Date Posted","תאריך פרסום"
"Delete","מחק"
"Delete Answer","מחק תשובה"
"Delete Poll","מחק סקר"
"Edit Answer '%s'","ערוך תשובה '%s'"
"Edit Poll '%s'","ערוך סקר '%s'"
"Edit Poll Answer","עריכת תשובת סקר"
"ID","מזהה"
"New Poll","סקר חדש"
"Number of Responses","כמות תגובות"
"Open","פתוח"
"Poll Answers","תשובות סקר"
"Poll Information","מידע סקר"
"Poll Manager","ניהול סקרים"
"Poll Question","שאלת סקר"
"Poll information","מידע סקר"
"Poll with the same question","סקר עם אותה שאלה"
"Polls","סקרים"
"Save Answer","שמור תשובה"
"Save Poll","שמור סקר"
"Status","סטטוס"
"Visible In","גלוי ב"
"Vote","הצבע"
"Votes Count","ספירת הצבעות/קולות"
"Votes Count:","ספירת הצבעות/קולות:"
