"API Login ID","API ID přihlášení"
"Accepted Currency","Akceptovaná měna"
"Authorize Only","Pouze schválit"
"Authorize and Capture","Schválit a získat"
"Cancel","Zrušit"
"Credit Card Types","Typy platebních karet"
"Credit Card Verification","Ověření platební karty"
"Debug","Ladící režim"
"Email Customer","E-mail zákazníka"
"Enabled","Zapnuto"
"Invalid amount for authorization.","Chybné množství pro autorizaci."
"Invalid amount for capture.","Neplatná částka pro získání."
"Invalid amount for refund.","Chybná částka ke vrácení."
"Maximum Order Total","Maximální hodnota objednávky"
"Merchant's Email","E-mail obchodníka"
"Minimum Order Total","Minimální hodnota objednávky"
"New Order Status","Stav nové objednávky"
"Payment Action","Platební akce"
"Payment authorization error.","Chyba při autorizaci platby."
"Payment capturing error.","Při získání platby nastala chyba."
"Payment from Applicable Countries","Platby z dostupných zemí"
"Payment from Specific Countries","Platby ze zvolených zemí"
"Payment refunding error.","Při vrácení platby nastala chyba."
"Payment voiding error.","Při anulování platby nastala chyba."
"Sort Order","Řadit podle"
"Test Mode","Testovací režim"
"Title","Název"
"Transaction Key","Transakční klíč"
"authorize","schválit"
"authorize and capture","schválit a získat"
"capture","získat"
"failed","chyba"
"refund","vrátit"
"successful","v pořádku"
"void","anulovat"
