"* Required Fields","* Povinný údaj"
"Authorize","Schválit"
"Callback URL","URL zpětného volání"
"Cleanup Probability","Pravděpodobnost úklidu"
"Cleanup Settings","Nastavení úklidu"
"Close","Zavřít‏"
"Created At","Vytvořeno v"
"Customer","Zákazník"
"Delete","Smazat"
"Disable","Zakázat"
"Disabled","Vypnuto"
"Edit","Upravit"
"Email","E-mail"
"Email Address","E-mailová adresa"
"Enable","Povolit"
"Enabled","Zapnuto"
"Expiration Period","Období platnosti"
"Invalid Callback URL","Neplatná URL pro zpětné volání"
"Invalid Rejected Callback URL","Neplatná URL pro odmítnutí zpětného volání"
"Key","Klíč"
"Log In","Přihlásit se"
"Login","Přihlášení"
"Name","Jméno"
"Password","Heslo"
"Permissions","Oprávnění"
"Reject","Odmítnout"
"Role Name","Název role"
"Save","Uložit"
"Save and Continue Edit","Použít"
"Status","Stav"
"System","Systém"
"User ID","ID uživatele"
"User Name","Uživatelské jméno"
"deleted","odstraněno"
