"-- Please Select --","-- Vyberte --"
"Attribute Code","Kód atributu"
"Attribute Label","Označení atributu"
"Begin data validation","Zahájení ověření dat"
"Cannot get autoincrement value","Auto-inkrementální hodnotu nelze získat"
"Check Data","Ověřit data"
"Customers","Zákazníci"
"Delete Entities","Odstranit entity"
"Destination file is not writable","Cílový soubor není zapisovatelný"
"Entity Type","Typ entit"
"Entity is unknown","Neznámá entita"
"Export File Format","Formát souboru"
"Export Settings","Nastavení exportu"
"File is valid! To start import process press ""Import"" button","Soubor je v pořádku! Proces zahájíte kliknutím na tlačítko ""Importovat"""
"Filter","Filtr"
"From","Od"
"Import Behavior","Chování importu"
"Import Settings","Nastavení importu"
"Import/Export","Import / Export"
"Products","Produkty"
"Select File to Import","Vyberte soubor pro import"
"Status","Stav"
"There are no product types available for export","K exportu nejsou dostupné žádné typy produktů"
"To","Pro"
"Unknown attribute filter type","Neznámý typ filtru atributů"
