"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Odkaz</a>"
"Done","Hotovo"
"Less than a minute","Za poslední minutu"
"Memory Used: %s","Použitá paměť: %s"
"Processed records: %s","Zpracovaných záznamů: %s"
"Sheet 1","List 1"
"Starting %s :: %s","Začátek %s :: %s"
"Total records: %s","Celkem záznamů: %s"
"hour","hodinu"
"hours","hodiny"
"minute","minutu"
"minutes","minuty"
