"ALL","VŠECHNY"
"ANY","NĚKTERÉ"
"Add","Přidat"
"Apply","Použít"
"Conditions Combination","Kombinace podmínek"
"FALSE","NEPLATNÉ"
"If %s of these conditions are %s:","Pokud jsou %s z těchto podmínek %s:"
"Invalid discount amount.","Chybná množstevní sleva"
"Open Chooser","Otevřít výběr"
"Perform following actions","Proveďte následující kroky"
"Please choose a condition to add...","Vyberte prosím podmínku k přidání..."
"Please choose an action to add...","Vyberte prosím akci k přidání..."
"Remove","Odstranit"
"TRUE","PLATNÉ"
"by","od"
"contains","obsahuje"
"does not contain","neobsahuje"
"equals or greater than","je rovno nebo větší než"
"equals or less than","je rovno nebo menší než"
"for","pro"
"found","nalezeno"
"from","od"
"greater than","je větší než"
"is","je"
"is not","není"
"is not one of","není jedním z"
"is one of","je jedním z"
"less than","je menší než"
"not found","nenalezeno"
"to","do"
