"Add","Přidat"
"Allow Gift Messages for Order Items","Povolit darovací vzkaz na položku objednávky"
"Allow Gift Messages on Order Level","Povolit darovací vzkaz na objednávku"
"Are you sure?","Skutečně chcete provést tuto akci?"
"Cancel","Zrušit"
"Do you have any gift items in your order?","Obsahuje váš košík nějaký dárek?"
"Edit","Upravit"
"From","Od"
"Gift Message","Darovací vzkaz"
"Gift Options","Nastavení dárků"
"Gift Options for Individual Items","Nastavení dárků pro jednotlivé položky"
"Item %d of %d","Položka %d z %d"
"Message","Zpráva"
"No","Ne"
"Save Gift Message","Uložit darovací vzkaz"
"To","Pro"
"Unknown entity type","Neznámý typ entity"
"Use config","Použít konfiguraci"
"Yes","Ano"
