"-- Please Select --","-- Vyberte --"
"Add to Cart","Přidat do košíku"
"Choose an Option...","Zvolte možnost..."
"Enabled","Zapnuto"
"General Settings","Základní nastavení"
"Height","Výška"
"In Stock","Skladem"
"Out of Stock","Není skladem"
"Previous","Předchozí"
"Remove This Item","Odstranit tuto položku"
"Width","Šířka"
