"-- Please Select --","-- Vyberte --"
"Add New Class","Přidat novou třídu"
"Add New Tax Rate","Přidat novou sazbu DPH"
"Add New Tax Rule","Přidat nové pravidlo DPH"
"After Discount","Po slevě"
"Apply Customer Tax","Výpočet DPH zákazníka"
"Apply Discount On Prices","Výpočet slevy z ceny"
"Apply Tax On","Výpočet DPH je prováděn z"
"Are you sure you want to do this?","Opravdu to chcete udělat?"
"Back","Zpět"
"Before Discount","Před slevou"
"Calculation Settings","Nastavení výpočtu"
"Catalog Prices","Ceny produktů jsou"
"Class Name","Jméno kategorie"
"Code","Kód"
"Country","Země"
"Custom price if available","Aktuální cena, je-li dostupná"
"Customer Tax Class","Třída zákazníka"
"Customer Tax Class Information","Informace o daňové třídě zákazníka"
"Customer Tax Classes","Daňové třídy zákazníka"
"Default Country","Výchozí země"
"Default Post Code","Výchozí PSČ"
"Default State","Výchozí situace"
"Default Tax Destination Calculation","Nastavení výchozího regionu pro výpočet DPH"
"Delete Class","Smazat kategorii"
"Delete Rate","Odstranit sazbu"
"Delete Rule","Odstranit pravidlo"
"Display Full Tax Summary","Zobrazit kompletní souhrn DPH"
"Display Prices","Ceny produktů zobrazit"
"Display Product Prices In Catalog","Ceny produktů v katalogu zobrazit"
"Display Shipping Amount","Cenu přepravného zobrazit"
"Display Shipping Prices","Ceny přepravného zobrazit"
"Display Subtotal","Mezisoučet produktů zobrazit"
"Display Zero Tax Subtotal","Zobrazit nulový mezisoučet DPH"
"Edit Class","Upravit třídu"
"Edit Class '%s'","Upravit třídu '%s'"
"Edit Rule","Upravit pravidlo"
"Edit Tax Rate","Upravit sazbu DPH"
"Enable Cross Border Trade","Zapnout přeshraniční obchod"
"Excl. Tax","bez DPH"
"Excl. Tax:","Bez daně:"
"Excluding Tax","Bez daně"
"Export Tax Rates","Exportovat daňové sazby"
"Grand Total (Excl. Tax)","Celkový součet (bez DPH)"
"Grand Total (Excl.Tax)","Celkem k úhradě (bez DPH)"
"Grand Total (Incl. Tax)","Celkový součet (s DPH)"
"Grand Total (Incl.Tax)","Celkem k úhradě (s DPH)"
"Grand Total Excl. Tax","Celkem k úhradě bez DPH"
"Grand Total Incl. Tax","Celkem k úhradě s DPH"
"Import / Export Tax Rates","Import / Export daňových sazeb"
"Import Tax Rates","Importovat daňové sazby"
"Inc. Tax","s DPH"
"Incl. Tax","s DPH"
"Incl. Tax:","S daní:"
"Including Tax","Včetně DPH"
"Including and Excluding Tax","Včetně a bez DPH"
"Invalid file format upload attempt","Chybný typ nahrávaného souboru"
"Invalid file upload attempt","Importovaný soubor je neplatný"
"Manage Tax Rates","Správa DPH sazeb"
"Manage Tax Rules","Správa pravidel DPH"
"Name","Jméno"
"New Class","Nová třída"
"New Rule","Nové pravidlo"
"New Tax Rate","Nová sazba DPH"
"No","Ne"
"None","Nic"
"One of the country has invalid code.","Jeden z řádků obsahuje chybný kód země."
"Orders, Invoices, Credit Memos Display Settings","Nastavení cen zobrazených v objednávce, faktuře a dobropisu"
"Original price only","Pouze původní cena"
"Price Display Settings","Nastavení zobrazených cen"
"Priority","Priorita"
"Product Tax Class","Třída produktu"
"Product Tax Class Information","Informace o daňové kategorii produktu"
"Product Tax Classes","Daňové kategorie produktů"
"Range From","V rozsahu od"
"Range To","V rozsahu do"
"Range To should be equal or greater than Range From.","Rozsah do musí být větší než rozsah od."
"Rate","Sazba"
"Rate Percent","Procentuální sazba"
"Reset","Obnovit"
"Row Total","Celkem za položku"
"Sales","Prodej"
"Save Class","Uložit kategorii"
"Save Rate","Uložit sazbu"
"Save Rule","Uložit pravidlo"
"Save and Continue Edit","Použít"
"Shipping & Handling (Excl.Tax)","Přepravné & balné (bez DPH)"
"Shipping & Handling (Incl.Tax)","Přepravné & balné (s DPH)"
"Shipping (Excl. Tax)","Přepravné (bez DPH)"
"Shipping (Incl. Tax)","Přepravné (s DPH)"
"Shipping Prices","Ceny přepravného jsou"
"Shopping Cart Display Settings","Nastavení v košíku zobrazených cen"
"Sort Order","Řadit podle"
"State","Kraj / region"
"State/Region","Kraj / region"
"Subtotal (Excl. Tax)","Mezisoučet (bez DPH)"
"Subtotal (Excl.Tax)","Mezisoučet (bez DPH)"
"Subtotal (Incl. Tax)","Mezisoučet (s DPH)"
"Subtotal (Incl.Tax)","Mezisoučet (s DPH)"
"Tax","DPH"
"Tax Calculation Based On","Výpočet DPH na základě"
"Tax Calculation Method Based On","Způsob výpočtu DPH odvozen od"
"Tax Class for Shipping","Třída DPH přepravného"
"Tax Classes","Třídy DPH"
"Tax Identifier","Identifikátor DPH"
"Tax Rate","Sazba DPH"
