"Actions","Akce"
"Active","Aktivní"
"Add New Rule","Přidat nové pravidlo"
"Apply","Použít"
"Apply Rules","Spustit pravidla"
"Attribute Set","Sada atributů"
"By Fixed Amount","Podle pevné hodnoty"
"Catalog","Katalog"
"Catalog Price Rule","Cenová pravidla katalogu"
"Catalog Price Rules","Cenová pravidla katalogu"
"Category","Kategorie"
"Conditions","Podmínky"
"Conditions (leave blank for all products)","Pravidla (ponechte prázdné pro všechny produkty)"
"Conditions Combination","Kombinace podmínek"
"Customer Groups","Skupiny zákazníků"
"Date Expire","Datum vyprší"
"Date From","Od"
"Date Start","Datum začátku"
"Date To","Do data"
"Description","Popis"
"Discount Amount","Výše slevy"
"Edit Rule","Upravit pravidlo"
"Edit Rule '%s'","Upravit pravidlo '%s'"
"Expiration Date","Datum expirace"
"From Date","Od data"
"General Information","Všeobecné informace"
"Inactive","Neaktivní"
"New Rule","Nové pravidlo"
"No","Ne"
"Options","Možnosti"
"Priority","Priorita"
"Product Attribute","Atribut produktu"
"Promotions","Pravidla"
"Rule Information","Nastavení pravidla"
"Rule Name","Název pravidla"
"Save and Apply","Uložit a spustit"
"Save and Continue Edit","Použít"
"Start Date","Začátek"
"Status","Stav"
"This rule no longer exists.","Toto pravidlo již neexistuje."
"To Date","do data"
"To Fixed Amount","Pro pevné množství"
"Type","Typ"
"Update product's %s %s: %s","Aktualizovat produktové %s %s: %s"
"Website","Webová stránka"
"Websites","Weby"
"Yes","Ano"
