"-- Please Select --","-- Ве молиме изберете --"
"About the calendar","За календарот"
"Allow","Дозволи"
"Close","Затвори"
"Close Window","Затвори го прозорецот"
"Go Today","Оди денес"
"Interface Language","Јазик на интерфејсот"
"JavaScript seems to be disabled in your browser.","Изгледа дека JavaScript е оневозможен во вашиот веб прелистувач."
"Menu","Мени"
"Next","Следно"
"Previous","Претходно"
"Search","Барај"
"Select Store","Избери дуќан"
"Show","Прикажи"
"View All","Види ги сите"
"Welcome, %s!","Добредојде, %s!"
"Your Language","Вашиот јазик"
"Your Language:","Вашиот јазик:"
"per page","по страна"
