"* Required Fields","* Задолжителни полиња"
"-- Please Select --","-- Ве молиме изберете --"
"A name is required","Името е задолжително"
"ALL GROUPS","СИТЕ ГРУПИ"
"Action","Акција"
"Add","Додади"
"Add Attribute","Додади атрибут"
"Add Design Change","Додади промена на дизајн"
"Add Group","Додади група"
"Add New","Додади нов"
"Add New Attribute","Додади нов атрибут"
"Add New Group","Додади нова група"
"Add New Option","Додади нова опција"
"Add New Search Term","Додади нов термин за пребарување"
"Add Product","Додади продукт"
"Add to Cart","Додади во кошничка"
"Add to Compare","Спореди продукт"
"Add to Wishlist","Додади во листа на желби"
"All","Сите"
"All Product Types","Сите типови на производи"
"All Websites","Сите вебстраници"
"All products","Сите продукти"
"Amount","Сума"
"Apply To","Примени на"
"Approved","Одобрено"
"Are you sure?","Дали сте сигурни?"
"Attribute Information","Информации за атрибутот"
"Attribute Model","Модел на атрибутот"
"Attribute Name:","Назив на атрибутот:"
"Attribute Set","Множество на атрибути"
"Attributes","Атрибути"
"Autogenerate","Автоматско генерирање"
"Back","Назад"
"Based On","Базирано на"
"Bottom/Left","Дно/Лево"
"Bottom/Right","Дно/Десно"
"Browse By","Листај според"
"Cancel","Откажи"
"Catalog","Каталог"
"Categories","Категории"
"Category","Категорија"
"Category Data","Податоци за категоријата"
"Category Products","Производи во категоријата"
"Center","Центар"
"Change","Промени"
"Change status","Промени статус"
"Choose an Option...","Ве молиме изберете..."
"Clear All","Исчисти сè"
"Click for price","Кликни за цена"
"Close Window","Затвори го прозорецот"
"Comparable","Споредливо"
"Compare","Спореди"
"Compare Products","Спореди продукти"
"Continue","Продолжи"
"Customer Group","Група на купувачи"
"Customers Reviews","Мислења од купувачи"
"Default Qty","Прододредена кол."
"Default Values","Предодредени вредности"
"Delete","Избриши"
"Delete Attribute","Избриши атрибут"
"Delete Option","Избриши опција"
"Delete Search","Избриши пребарување"
"Description","Опис"
"Details","Детали"
"Disabled","Оневозможено"
"Edit","Измени"
"Edit Search","Измени пребарување"
"Email","Емаил"
"Email to a Friend","Испрати на пријател"
"Enabled","Овозможено"
"First Name","Име"
"Gallery","Галерија"
"General Information","Општи информации"
"Go to Home Page","Оди на почетната страна"
"Grid","Мрежа"
"Groups","Групи"
"Home","Дома"
"In Cart","Во кошничка"
"In Stock","На залиха"
"In stock","На залиха"
"Incl. Tax","Со ДДВ"
"Inventory","Залиха"
"Last Name","Презиме"
"Learn More","Дознај повеќе"
"List","Листа"
"Manage Stock","Менаџирај залиха"
"Max Characters","Макс. карактери"
"Maximum Qty Allowed in Shopping Cart","Максимална кол. дозволена во кошничката"
"Minimum Qty Allowed in Shopping Cart","Минимална кол. дозволена во кошничката"
"My Account","Мојот профил"
"Name","Име"
"New Product","Нов продукт"
"New Products","Нови продукти"
"New products","Нови продукти"
"Next","Следно"
"No","Не"
"None","Нема"
"Number of Products per Page","Број на продукти по страна"
"Number of Products to Display","Број на продукти за приказ"
"OK","Во ред"
"Options","Опции"
"Out of Stock","Нема на залиха"
"Out of stock","Нема на залиха"
"Please wait...","Ве молиме почекајте..."
"Position","Позиција"
"Prev","Пред"
"Previous","Претходно"
"Price","Цена"
"Price:","Цена:"
"Print This Page","Испринти ја оваа страница"
"Product","Продукт"
"Product Name","Име на продуктот"
"Product Reviews","Мислења за продукти"
"Product is not loaded","Продуктот не е вчитан"
"Products","Продукти"
"Products Comparison List","Листа на продукти за споредба"
"Products Reviews","Мислења за продукти"
"Qty","Кол"
"Qty:","Кол:"
"Quantity","Количина"
"Related Products","Поврзани продукти"
"Remove","Избриши"
"Remove Product From Websites","Отстрани го продуктот од вебсајтот"
"Remove This Item","Отстрани го овој продукт"
"Reset","Ресетирај"
"Results","Резултати"
"Reviews","Мислења"
"Save","Зачувај"
"Save Attribute","Зачувај атрибут"
"Save Search","Зачувај го пребарувањето"
"Save and Continue Edit","Зачивај и продолжи да изменуваш"
"Search","Барај"
"Search Weight","Барај тежина"
"See price before order confirmation.","Види цена пред потврда на нарачката."
"Select Category...","Селектирај категорија..."
"Select Product...","Селектирај продукт..."
"Set Ascending Direction","Постави растечки"
"Set Descending Direction","Постави опаѓачки"
"Settings","Поставки"
"Shop By","Филтри"
"Shopping Options","Филтрирај по"
"Show","Прикажи"
"Show Details","Покажи детали"
"Sitemap","Мапа на сајтот"
"Some of the selected item options are not currently available.","Некои од избраните опции на продуктот не се достапни во моментот."
"Sort By","Сортирај по"
"Status","Статус"
"Stock Availability","Достапност на залиха"
"Store","Продавница"
"Tax","Данок"
"Title","Наслов"
"To see product price, add this item to your cart. You can always remove it later.","За да ја видете цената на продуктот ве молиме да го додадете во кошничката. Секогаш можете да го отстранете подоцна."
"Update","Ажирирај"
"Use Default Value","Користи предодрена вредност"
"View Details","Види детали"
"View as","Види како"
"Visibility","Видливост"
"Visible","Видливо"
"Website","Веб страна"
"What's this?","Што е ова?"
"Yes","Да"
"You have no items to compare.","Немате продукти за споредба."
"and","и"
"and above","и нагоре"
"per page","по страна"
"save","зачувај"
