"Action","Акција"
"Add to Cart","Додади во кошничка"
"Add to Compare","Спореди продукт"
"Add to Wishlist","Додади во листа на желби"
"Any","Било кое"
"Are you sure?","Дали сте сигурни?"
"Bestsellers","Најпродавани"
"Carts","Кошнички"
"Coupons","Купони"
"Created At","Креирано на"
"Customer","Купувач"
"Customer Name","Име на купувачот"
"Customers","Купувачи"
"Customers Reviews","Мислења од купувачи"
"Dashboard","Контролна табла"
"Day","Ден"
"Description","Опис"
"Email","Емаил"
"First Name","Име"
"From","Од"
"Guest","Гостин"
"IP Address","IP адреса"
"Invoiced","Фактурирано"
"Items in Cart","Продукти во кошничката"
"Last Name","Презиме"
"Last Review","Последно мислење"
"List of Products Recently Viewed by Visitor","Листа на продукти последно видени од посетител"
"Month","Месец"
"Name","Име"
"New Accounts","Нови налози"
"No","Не"
"Number of Items","Број на продукти"
"Number of Products to display","Број на продукти за приказ"
"Order Status","Статус на нарачката"
"Orders","Нарачки"
"Out of stock","Нема на залиха"
"Period","Период"
"Price","Цена"
"Product Name","Име на продуктот"
"Product Reviews","Мислења за продукти"
"Products","Продукти"
"Products Reviews","Мислења за продукти"
"Recently Compared Products","Последно споредени продукти"
"Recently Viewed","Последно видени"
"Recently Viewed Products","Последно видени продукти"
"Recently Viewed/Compared Products","Последно видени/споредени продукти"
"Reports","Извештаи"
"Results","Резултати"
"Revenue","Приход"
"Review","Мислење"
"Reviews","Мислења"
"Sales Report","Извештај од продажба"
"Search Terms","Термини за пребарување"
"Shipping","Испорака"
"Shopping Cart","Кошничка"
"Subtotal","Вкупно"
"Tax","Данок"
"Title","Наслов"
"To","До"
"Total","Вкупно"
"Updated At","Ажурирано на"
"Year","Година"
"Yes","Да"
