"Add","Додади"
"Back","Назад"
"Canceled","Откажено"
"Date","Датум"
"Delete","Избриши"
"Edit","Измени"
"Excl. Tax","Без ДДВ"
"File","Датотека"
"In stock","На залиха"
"Incl. Tax","Со ДДВ"
"Invoiced","Фактурирано"
"List","Листа"
"Message:","Порака:"
"Order #","Нарачка #"
"Ordered","Порачено"
"Out of stock","Нема на залиха"
"Price","Цена"
"Qty","Кол"
"Remove","Избриши"
"Remove Item","Отстрани продукт"
"See price before order confirmation.","Види цена пред потврда на нарачката."
"Status","Статус"
"Subtotal","Вкупно"
"Title","Наслов"
"Update","Ажирирај"
"Use Default Value","Користи предодрена вредност"
"View Order","Види нарачка"
"What's this?","Што е ова?"
