"Configuration","Конфигурација"
"Confirm Password","Потврди ја лозинката"
"Continue","Продолжи"
"Download","Преземи"
"Email","Емаил"
"Email Address","Емаил адреса"
"First Name","Име"
"Last Name","Презиме"
"Locale","Локале"
"Password","Лозинка"
"Password Confirmation","Потврди лозинка"
"Personal Information","Лични информации"
"Required Fields","Задолжителни полиња"
"User Name","Корисничко име"
"Username","Корисничко име"
