"* Required Fields","* Задолжителни полиња"
"Admin","Админ"
"Close","Затвори"
"Created At","Креирано на"
"Customer","Купувач"
"Delete","Избриши"
"Disable","Оневозможи"
"Disabled","Оневозможено"
"Edit","Измени"
"Email","Емаил"
"Email Address","Емаил адреса"
"Enable","Овозможи"
"Enabled","Овозможено"
"Login","Најави се"
"Name","Име"
"Password","Лозинка"
"Permissions","Пермисии"
"Role Name","Име на улога"
"Save","Зачувај"
"Save and Continue Edit","Зачивај и продолжи да изменуваш"
"Status","Статус"
"System","Систем"
"User Name","Корисничко име"
"deleted","избришено"
