"Actions","Акции"
"Are you sure?","Дали сте сигурни?"
"Last Update","Последно Ажурирано"
"Mark as Read","Означи како прочитано"
"Message","Порака"
"Messages Inbox","Сандаче со пораки"
"Notifications","Известувања"
"Please select messages.","Ве молиме изберете порака."
"Read Details","Прочитај детали"
"Remove","Избриши"
"Show List","Прикажи листа"
"The message has been removed.","Пораката е избришена."
"critical","критично"
"major","големо"
"minor","мало"
"notice","забелешка"
